"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"女性ﾀﾚﾝﾄ/男性50～69歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
1,"綾瀬　はるか",62.5,95.5,17.4,34.3,30.2,17.0,47.0,18.5,28.6
2,"長澤　まさみ",60.5,94.0,11.7,20.6,29.4,13.7,38.2,21.5,28.9
3,"吉岡　里帆",54.7,87.4,7.8,26.2,20.2,10.3,49.0,5.1,12.7
4,"芦田　愛菜",53.6,91.7,7.6,33.2,22.0,25.4,46.1,4.1,3.0
5,"内田　有紀",53.0,93.6,4.6,22.3,23.9,12.2,31.4,20.7,39.4
6,"森高　千里",50.9,95.6,1.5,21.1,26.1,10.0,32.1,23.2,37.9
7,"石田　ゆり子",50.8,92.9,4.4,22.2,21.8,11.9,26.8,7.2,45.8
7,"新垣　結衣",50.8,90.5,3.8,27.2,21.6,11.9,48.6,10.3,14.5
9,"広瀬　すず",50.3,94.4,4.6,26.2,21.7,7.8,56.7,8.2,6.2
10,"有村　架純",49.3,89.2,3.1,25.6,20.9,9.5,50.7,5.5,10.8
11,"石川　佳純",48.3,88.7,3.9,23.8,20.8,13.8,33.3,15.6,6.5
12,"川口　春奈",47.8,85.5,11.3,19.5,22.8,8.9,45.6,9.3,8.0
13,"今田　美桜",47.6,77.8,4.4,24.5,19.4,7.3,49.7,6.7,6.2
14,"北川　景子",46.2,93.4,5.5,23.7,25.7,13.8,24.9,26.6,37.5
15,"深田　恭子",45.9,95.3,4.4,16.3,28.8,6.6,43.7,8.4,27.2
16,"浜辺　美波",45.8,80.4,3.9,27.4,18.6,8.3,51.9,5.1,4.9
17,"松　たか子",45.6,96.2,6.2,21.7,24.9,17.0,14.0,12.9,35.2
18,"石原　さとみ",45.3,93.3,4.8,21.4,24.0,10.5,41.4,9.9,21.5
18,"広瀬　アリス",45.3,89.4,12.5,17.0,28.0,7.1,35.6,7.3,12.0
20,"小芝　風花",44.4,77.5,6.1,20.9,21.0,7.8,42.9,5.4,5.0
21,"吉高　由里子",43.8,87.7,12.4,12.7,37.8,9.5,29.5,10.1,17.2
22,"上戸　彩",43.5,95.4,5.4,21.6,23.8,11.2,39.1,8.8,18.9
23,"吉永　小百合",42.9,95.2,2.1,28.4,20.2,26.4,9.4,12.2,57.1
24,"天海　祐希",41.2,92.3,9.0,14.6,29.1,17.6,5.5,33.0,48.4
25,"小池　栄子",41.0,95.1,17.9,6.9,36.5,14.3,8.4,19.1,30.8
26,"多部　未華子",40.5,85.3,2.8,18.9,27.9,9.6,30.2,5.3,10.6
27,"波瑠",40.4,86.0,3.4,19.5,25.5,8.8,25.8,9.7,18.0
28,"木村　文乃",39.8,81.4,2.4,15.0,23.7,8.4,25.6,11.3,20.2
29,"柴咲　コウ",39.5,93.0,2.5,11.2,35.9,10.1,13.7,22.8,32.9
30,"仲間　由紀恵",39.2,94.1,7.2,15.8,28.0,12.8,11.5,10.7,33.0
31,"薬師丸　ひろ子",38.4,96.1,2.7,15.4,29.8,13.9,13.6,7.8,41.5
32,"宇多田　ヒカル",38.2,95.9,2.7,6.6,45.0,10.2,5.1,25.1,12.8
32,"深津　絵里",38.2,91.2,2.4,12.3,31.0,11.7,12.6,11.9,31.8
34,"高畑　充希",37.9,85.0,5.0,14.7,30.2,9.3,29.9,5.9,7.2
35,"米倉　涼子",37.8,95.2,4.3,10.0,29.6,11.0,6.9,32.6,43.0
36,"菅野　美穂",37.6,93.0,9.2,13.6,29.6,9.0,19.5,5.9,23.4
37,"吉瀬　美智子",37.5,85.1,3.9,14.5,23.9,7.7,11.5,24.2,48.5
38,"優香",37.2,90.6,7.7,11.9,18.6,6.1,33.1,3.0,17.2
39,"本田　翼",37.1,87.3,7.2,16.1,24.2,3.6,40.6,8.9,6.5
40,"松嶋　菜々子",36.9,94.5,2.0,18.2,22.9,11.2,14.3,16.8,47.0
41,"吉田　羊",36.7,89.0,5.7,8.4,35.7,11.1,6.6,17.4,41.6
42,"常盤　貴子",36.3,92.8,3.2,12.3,24.3,10.5,13.7,10.4,41.1
43,"木村　多江",36.1,84.1,3.3,11.6,28.0,11.6,6.9,7.3,42.6
44,"磯山　さやか",35.6,82.5,14.0,8.8,21.5,5.1,22.6,2.8,12.0
45,"原田　知世",35.5,94.4,1.8,18.2,27.4,10.5,18.7,7.0,36.7
46,"戸田　恵梨香",35.3,86.3,4.6,11.8,27.6,9.4,20.2,11.9,18.0
47,"二階堂　ふみ",35.2,87.1,3.6,11.0,31.2,8.9,21.5,9.1,17.3
47,"伊藤　沙莉",35.2,76.2,12.4,8.3,35.2,8.3,14.9,3.8,3.6
49,"杏",34.9,91.8,3.3,14.8,32.6,13.5,9.0,21.5,28.4
50,"宮崎　美子",34.8,91.7,5.6,12.7,20.8,20.8,10.4,3.7,34.9
50,"木村　佳乃",34.8,91.1,13.7,12.5,26.4,9.7,9.6,11.5,35.5
50,"白石　麻衣",34.8,81.6,3.3,22.6,16.1,5.3,39.9,6.9,8.8
53,"井川　遥",34.7,86.5,1.2,14.6,17.4,6.7,16.6,11.2,43.4
54,"永作　博美",34.6,89.7,3.4,11.0,27.8,9.0,21.5,7.8,30.2
55,"山口　智子",34.3,91.7,4.8,10.3,26.7,10.4,11.1,18.8,39.0
55,"池田　エライザ",34.3,74.6,2.1,9.9,26.2,4.4,26.3,17.1,8.4
57,"井森　美幸",34.1,94.9,42.4,6.8,34.3,7.0,9.3,2.1,8.5
58,"松下　奈緒",34.0,88.7,3.3,18.8,24.1,12.7,10.8,15.7,34.0
58,"倉科　カナ",34.0,78.0,2.8,14.2,18.6,6.0,33.1,5.6,16.2
60,"佐藤　栞里",33.7,78.8,14.7,17.0,23.9,8.5,27.6,2.7,3.1
61,"中村　アン",33.5,77.1,2.8,13.9,20.4,5.8,22.2,16.9,18.6
62,"菜々緒",33.3,85.4,2.7,11.1,31.4,5.7,10.8,34.1,29.5
63,"上白石　萌歌",33.2,83.9,4.5,16.8,23.9,6.9,36.9,2.7,3.0
64,"上白石　萌音",33.1,85.3,4.3,18.4,23.9,8.2,31.5,2.4,3.8
65,"佐々木　希",32.6,88.1,2.4,17.0,18.4,5.6,39.8,10.4,14.9
65,"仲　里依紗",32.6,82.3,14.6,6.4,38.6,5.8,13.3,12.2,11.3
65,"満島　ひかり",32.6,81.3,5.0,9.9,31.7,7.6,18.5,11.8,13.5
68,"黒木　瞳",32.5,94.5,1.8,12.8,23.8,10.1,8.9,15.7,54.8
68,"比嘉　愛未",32.5,66.6,2.3,13.6,17.2,7.2,22.0,7.7,16.5
70,"阿佐ヶ谷姉妹",32.4,93.4,48.3,3.6,39.0,7.1,1.8,1.0,6.7
71,"鈴木　京香",32.3,91.3,1.6,10.4,22.7,13.1,6.1,15.4,51.9
71,"橋本　環奈",32.3,91.9,8.4,13.9,25.0,4.3,45.3,4.5,3.7
73,"和久井　映見",32.1,91.7,2.2,13.4,21.2,11.4,13.9,4.9,35.6
74,"田中　美佐子",31.7,89.6,5.7,9.5,23.9,8.7,11.1,6.2,39.8
75,"王林",31.1,85.2,26.7,8.8,32.9,3.5,26.9,6.5,2.6
76,"朝日　奈央",30.9,75.6,27.2,9.0,22.5,5.5,16.1,2.7,3.0
77,"菊池　桃子",30.6,94.2,3.8,16.5,21.8,8.3,25.5,1.5,23.8
77,"芳根　京子",30.6,67.8,3.7,17.1,16.1,5.0,32.3,2.3,5.0
79,"風吹　ジュン",30.4,88.8,2.4,6.2,24.8,8.5,10.6,10.2,45.7
80,"清水　ミチコ",30.3,94.7,50.1,2.4,43.8,5.6,1.6,4.8,8.4
80,"桐谷　美玲",30.3,82.9,1.5,18.4,19.5,5.0,34.3,8.1,10.5
82,"福原　遥",29.9,63.9,2.1,17.9,15.1,5.5,36.8,1.9,3.7
83,"南野　陽子",29.8,94.9,3.5,9.6,24.8,4.8,15.8,4.6,32.7
83,"いとう　あさこ",29.8,91.8,50.9,2.4,34.1,8.2,2.1,2.1,3.6
83,"本仮屋　ユイカ",29.8,80.6,3.4,16.9,21.4,6.7,25.3,3.5,11.2
83,"清野　菜名",29.8,63.4,1.8,19.4,17.2,6.2,25.6,10.0,5.6
87,"檀　れい",29.6,86.6,1.4,15.1,19.8,9.7,10.7,12.9,45.6
87,"のん",29.6,76.6,5.1,13.0,31.9,6.2,30.0,5.8,3.9
89,"蒼井　優",29.5,87.6,3.9,11.8,33.8,7.9,17.5,6.6,12.9
89,"水川　あさみ",29.5,78.6,6.0,10.4,24.4,7.2,11.4,11.0,19.2
91,"ホラン　千秋",29.2,91.6,12.9,11.3,37.0,11.2,10.4,10.3,10.8
92,"沢口　靖子",29.1,94.2,2.5,18.0,24.1,12.9,12.0,6.8,38.4
92,"黒木　華",29.1,74.9,3.1,9.9,32.5,8.2,11.3,4.3,13.4
94,"中条　あやみ",29.0,71.3,2.1,14.9,18.1,3.8,27.9,10.3,10.3
95,"永野　芽郁",28.8,84.9,5.3,11.0,23.7,3.5,36.0,3.8,4.2
96,"榊原　郁恵",28.7,95.2,17.6,8.4,22.5,11.8,9.1,2.4,16.6
97,"川栄　李奈",28.6,76.2,9.0,9.3,22.2,3.5,30.4,3.2,3.3
97,"奈緒",28.6,64.7,2.7,13.1,23.5,6.6,22.1,3.5,5.6
99,"高島　礼子",28.5,92.0,2.0,8.2,21.1,9.4,3.6,16.6,51.7
99,"友近",28.5,93.4,52.2,2.5,37.9,5.9,1.4,4.2,7.4
99,"生見　愛瑠",28.5,69.4,7.3,12.6,18.4,3.1,35.9,4.2,3.3
102,"石田　ひかり",28.3,92.6,3.0,16.0,23.7,9.3,14.8,4.4,31.8
102,"土屋　太鳳",28.3,89.9,2.1,16.3,27.6,5.8,26.6,8.5,8.2
102,"水野　美紀",28.3,89.4,4.3,11.4,24.9,8.0,7.9,12.7,32.0
102,"松岡　茉優",28.3,66.8,4.8,10.4,20.8,4.4,25.1,4.3,6.2
106,"中谷　美紀",28.1,88.5,1.1,11.1,25.5,8.7,8.1,13.3,36.0
106,"河合　優実",28.1,51.3,2.3,9.5,25.7,6.1,15.1,11.6,5.3
108,"安藤　サクラ",28.0,81.7,6.9,4.5,41.7,10.3,2.3,10.0,18.4
108,"杉咲　花",28.0,69.3,3.3,13.5,24.1,5.9,27.5,1.6,2.6
110,"榮倉　奈々",27.9,84.4,2.0,13.6,22.8,6.7,18.0,14.8,14.1
111,"田中　みな実",27.8,89.7,5.5,11.4,30.4,4.5,28.3,6.0,22.0
112,"松坂　慶子",27.6,94.2,3.5,7.4,21.0,12.8,4.3,7.3,50.2
112,"宮崎　あおい",27.6,86.4,2.2,13.7,21.6,6.9,24.2,4.3,14.7
112,"麻生　久美子",27.6,72.8,3.1,9.1,20.4,9.3,9.5,10.5,31.5
115,"松下　由樹",27.3,90.1,5.5,7.4,23.1,10.2,5.1,8.0,36.8
115,"戸田　恵子",27.3,85.8,7.2,5.7,29.0,13.4,2.2,9.9,28.0
117,"松田　聖子",27.1,96.5,2.6,7.4,32.0,8.5,10.6,10.7,28.3
118,"江口　のりこ",26.9,76.8,6.9,3.6,42.5,11.1,1.2,10.2,17.6
119,"大島　優子",26.8,88.9,4.3,9.4,21.8,4.4,27.1,5.3,7.7
119,"高島　彩",26.8,83.4,2.8,15.6,16.1,14.9,22.3,4.4,17.1
121,"篠原　涼子",26.5,93.3,6.6,7.1,32.7,6.7,8.4,19.3,30.1
122,"ヒコロヒ－",26.3,81.7,35.5,1.8,37.2,4.3,3.5,9.4,6.7
123,"新木　優子",26.1,62.4,1.3,13.5,14.7,3.6,25.0,10.1,9.9
124,"上野　樹里",26.0,81.5,5.0,8.1,33.8,5.9,13.5,7.2,11.0
124,"羽田　美智子",26.0,79.6,4.6,10.3,20.7,8.3,8.8,5.9,31.8
126,"稲森　いずみ",25.8,84.4,1.3,10.7,20.4,6.2,11.2,11.3,38.0
127,"大久保　佳代子",25.6,92.2,47.1,2.1,41.7,6.5,2.0,1.8,5.6
127,"ファ－ストサマ－ウイカ",25.6,81.7,26.9,4.8,36.1,5.0,8.0,10.6,6.9
129,"武井　咲",25.5,86.4,1.5,18.3,21.6,5.6,28.1,8.1,13.9
129,"清原　果耶",25.5,58.1,1.5,18.6,15.1,3.7,26.4,3.6,3.7
131,"鈴木　保奈美",25.4,94.1,2.1,11.7,26.0,8.0,8.2,12.3,40.9
131,"安田　成美",25.4,92.6,1.8,12.7,24.6,8.7,11.2,5.4,33.8
131,"橋本　マナミ",25.4,85.3,2.0,8.5,21.5,3.2,10.8,7.3,42.1
134,"浅田　真央",25.3,94.4,3.3,20.7,26.3,10.0,21.1,8.0,4.3
134,"かたせ　梨乃",25.3,92.2,4.8,4.4,28.3,8.4,4.2,11.7,49.2
134,"滝沢　カレン",25.3,82.9,28.0,8.3,37.6,2.4,15.7,6.4,4.6
137,"中川　翔子",25.2,92.0,19.4,5.4,46.3,5.9,19.1,2.8,4.5
137,"加藤　綾子",25.2,80.0,2.8,13.0,16.6,8.2,24.0,3.9,15.3
139,"矢田　亜希子",25.1,84.9,3.5,12.2,20.9,5.6,18.4,5.0,24.2
140,"志田　未来",24.9,75.5,1.6,13.0,20.9,6.1,23.2,2.1,3.7
141,"渡辺　満里奈",24.8,93.5,5.6,11.4,23.1,8.4,18.8,2.3,15.8
141,"尾野　真千子",24.8,74.7,4.8,5.6,26.6,7.9,6.2,11.6,24.0
141,"門脇　麦",24.8,70.2,2.2,6.9,31.9,4.6,14.5,5.3,6.4
144,"高岡　早紀",24.6,89.7,1.3,7.3,27.3,5.3,7.1,9.4,41.5
144,"国仲　涼子",24.6,79.2,2.3,13.1,17.7,4.9,20.6,3.1,14.8
146,"やす子",24.5,93.2,40.2,2.5,39.9,4.9,5.0,1.0,0.3
147,"宮沢　りえ",24.4,96.2,2.4,9.5,33.2,7.9,11.1,9.7,37.0
147,"鶴田　真由",24.4,82.5,1.2,11.3,20.3,7.6,11.2,4.5,29.7
149,"あの",24.3,87.5,22.6,4.2,52.8,2.3,20.2,3.5,1.0
150,"斉藤　由貴",24.1,95.3,4.4,6.7,36.0,4.2,10.8,3.0,29.0
150,"ＹＯＵ",24.1,92.6,27.1,2.8,49.3,5.5,5.3,9.3,16.3
150,"井上　真央",24.1,79.4,2.0,13.3,19.9,6.5,22.7,3.3,9.1
150,"平　愛梨",24.1,79.1,10.2,9.5,22.9,2.6,24.5,2.6,6.8
154,"観月　ありさ",24.0,92.6,4.2,11.0,27.1,6.2,11.8,12.6,23.5
155,"島崎　和歌子",23.9,91.7,36.9,3.6,32.4,6.4,3.1,3.9,10.6
156,"麻生　祐未",23.4,70.5,1.5,6.1,17.5,7.2,4.6,7.7,32.4
156,"堀田　真由",23.4,58.3,3.0,12.5,15.3,3.3,23.5,2.1,4.1
158,"賀来　千香子",23.3,90.4,2.3,8.1,21.1,9.6,4.2,10.7,42.8
158,"室井　滋",23.3,92.0,17.5,2.7,46.2,8.4,1.5,4.6,17.4
160,"松雪　泰子",23.2,88.9,1.9,8.2,25.4,8.4,6.7,12.6,39.2
160,"ＭＥＧＵＭＩ",23.2,89.0,6.7,5.3,33.4,5.4,7.4,13.1,24.5
160,"大塚　寧々",23.2,84.7,2.0,8.2,24.5,6.2,9.2,6.4,27.3
160,"皆藤　愛子",23.2,69.3,1.8,16.8,12.2,6.5,28.8,1.4,6.2
164,"名取　裕子",23.1,92.4,2.0,7.7,22.1,13.3,2.8,8.4,48.3
164,"本上　まなみ",23.1,81.3,1.6,13.1,20.6,5.3,11.5,6.9,25.8
166,"市毛　良枝",23.0,90.1,1.6,8.2,19.8,13.1,3.1,3.3,39.4
166,"渡辺　直美",23.0,94.0,43.4,2.4,46.9,3.9,3.4,8.0,3.5
166,"野呂　佳代",23.0,72.9,28.5,2.3,26.8,3.6,9.3,1.1,2.4
169,"近藤　春菜",22.9,93.2,52.6,2.6,34.8,4.9,2.2,1.6,1.6
169,"藤本　美貴",22.9,86.1,16.1,7.8,22.2,7.4,14.8,4.7,7.7
171,"栗山　千明",22.8,76.5,2.0,9.5,27.4,6.4,8.0,14.1,18.9
172,"片平　なぎさ",22.7,91.1,2.4,6.0,24.6,9.5,4.4,8.0,41.0
172,"大地　真央",22.7,92.4,5.4,7.9,28.7,11.7,3.3,18.9,43.4
172,"イモトアヤコ",22.7,92.0,41.8,2.0,38.0,5.4,2.4,2.6,1.9
172,"富田　靖子",22.7,86.9,2.5,9.9,25.3,9.1,11.6,3.8,22.7
176,"大竹　しのぶ",22.6,97.0,14.7,4.9,40.4,12.0,5.4,6.2,31.7
176,"真矢　ミキ",22.6,86.6,2.6,8.2,24.4,8.9,3.0,19.6,42.5
178,"乙葉",22.2,85.9,3.6,12.0,22.8,4.6,23.5,1.2,10.1
178,"田中　律子",22.2,87.2,9.2,11.4,24.9,7.6,11.1,7.4,15.3
178,"山本　美月",22.2,69.2,1.0,12.6,16.4,2.8,24.8,5.5,7.9
181,"水野　真紀",22.1,89.2,2.2,14.6,19.4,8.7,10.0,5.4,33.6
181,"吹石　一恵",22.1,86.5,1.1,14.6,21.2,7.9,12.5,7.9,27.1
183,"浅野　ゆう子",22.0,94.1,5.0,6.4,24.9,7.4,2.8,16.3,45.0
184,"ガンバレル－ヤ",21.9,83.1,41.6,1.0,32.5,2.2,2.2,0.2,0.5
185,"柳原　可奈子",21.8,86.5,37.9,3.9,29.4,4.1,10.5,1.1,1.6
185,"若槻　千夏",21.8,89.6,30.0,4.4,29.9,3.4,11.5,3.4,3.9
185,"高橋　ひとみ",21.8,82.5,4.6,5.5,23.9,8.0,3.4,8.2,40.7
185,"トリンドル　玲奈",21.8,84.4,4.8,12.7,25.0,2.6,34.5,3.1,3.8
185,"渋谷　凪咲",21.8,52.4,13.3,7.6,14.9,2.8,21.7,0.9,1.8
190,"藤原　紀香",21.7,96.2,4.1,9.6,26.6,5.6,6.8,15.7,41.8
191,"浅田　美代子",21.6,91.3,16.2,4.9,29.5,4.4,9.5,2.1,22.0
191,"安　めぐみ",21.6,85.4,5.1,10.4,21.6,4.2,15.8,1.6,15.3
191,"余　貴美子",21.6,74.2,2.3,3.3,24.9,8.4,1.9,7.7,31.5
194,"生田　絵梨花",21.5,60.5,2.1,12.9,13.7,5.0,24.1,2.7,4.1
195,"夏帆",21.4,66.4,2.0,9.2,23.9,3.4,20.4,3.5,6.5
195,"森　七菜",21.4,66.5,2.8,11.7,14.7,2.4,31.8,1.3,1.1
197,"夏木　マリ",21.2,92.9,3.8,4.2,37.1,9.5,1.4,21.6,40.0
198,"白石　美帆",21.1,78.4,1.9,13.4,15.7,4.2,20.4,3.3,15.1
199,"石野　真子",21.0,92.6,4.2,5.9,24.1,4.9,16.0,1.8,23.5
199,"足立　梨花",21.0,68.5,4.5,9.1,16.8,1.6,22.8,3.2,4.7
199,"木南　晴夏",21.0,55.0,6.2,6.8,23.1,6.4,9.6,3.4,7.6
202,"安達　祐実",20.9,93.9,3.9,6.8,34.6,6.1,19.3,3.9,12.6
202,"指原　莉乃",20.9,92.1,20.8,5.3,32.0,3.7,11.2,3.5,3.3
204,"池田　美優",20.8,86.7,16.5,6.0,29.8,4.1,16.4,7.1,3.3
205,"小倉　優子",20.6,90.9,12.4,6.9,33.4,2.2,28.4,1.6,6.1
206,"柴田　理恵",20.5,94.3,38.9,2.4,41.2,9.0,1.1,1.6,8.3
206,"ロ－ラ",20.5,89.4,15.2,5.8,37.3,1.9,18.7,14.2,8.8
206,"黒谷　友香",20.5,75.6,2.6,8.2,20.0,4.9,6.7,11.9,27.7
206,"若村　麻由美",20.5,68.8,1.2,5.6,18.0,6.9,5.7,7.3,33.1
210,"木村　カエラ",20.4,89.9,4.7,6.8,45.5,4.8,10.7,13.6,8.1
210,"貫地谷　しほり",20.4,79.8,1.8,9.1,27.6,6.6,12.5,3.7,10.7
212,"小林　聡美",20.3,81.7,11.1,4.5,34.8,9.4,2.8,4.2,19.1
213,"田中　麗奈",20.2,78.6,1.0,10.7,23.1,4.6,13.7,5.3,13.6
213,"瀧本　美織",20.2,59.9,1.3,10.0,14.3,4.8,19.1,3.7,6.5
213,"幾田　りら",20.2,48.4,1.6,6.9,15.6,4.8,13.0,7.3,1.9
213,"松本　若菜",20.2,48.0,2.3,8.8,14.9,4.6,13.0,7.7,12.5
217,"井桁　弘恵",20.0,51.6,3.8,12.4,12.8,4.3,20.2,3.4,2.4
218,"財前　直見",19.9,88.3,3.1,5.4,25.2,7.9,2.7,7.6,34.7
218,"高嶋　ちさ子",19.9,91.7,19.3,3.3,44.2,6.2,3.5,11.2,15.0
218,"松本　まりか",19.9,67.5,4.1,6.2,29.1,3.0,14.5,4.4,12.5
221,"西野　七瀬",19.8,62.9,1.9,12.4,14.8,3.0,29.2,4.3,3.1
222,"戸田　菜穂",19.7,67.1,0.7,6.7,16.4,6.7,5.7,5.7,26.2
223,"椿　鬼奴",19.6,88.6,43.9,1.4,42.3,2.3,1.5,4.3,5.5
224,"眞鍋　かをり",19.3,89.2,5.6,8.2,26.5,8.9,9.6,5.7,17.3
224,"ゆうちゃみ",19.3,80.0,14.3,4.5,26.0,2.1,23.0,4.5,2.0
226,"坂井　真紀",19.2,83.5,3.4,8.3,25.3,6.5,9.3,5.7,19.5
226,"井上　咲楽",19.2,71.5,12.7,6.4,27.4,2.7,16.0,1.8,1.9
226,"百田　夏菜子",19.2,62.3,4.4,8.2,16.5,2.3,23.9,2.7,2.7
229,"酒井　美紀",18.7,78.6,1.3,11.1,18.3,4.8,10.4,3.5,19.1
230,"草刈　民代",18.6,86.1,0.9,7.2,23.5,9.1,2.5,15.6,41.4
230,"樋口　可南子",18.6,87.5,1.6,5.6,23.0,7.3,2.0,10.2,43.7
230,"ＳＨＥＬＬＹ",18.6,82.8,15.3,3.8,32.5,3.5,4.5,9.4,7.7
230,"本田　望結",18.6,79.8,4.2,10.2,16.9,2.5,32.4,1.5,2.4
230,"横澤　夏子",18.6,81.7,37.8,2.0,32.3,3.8,2.6,1.1,2.7
230,"夏菜",18.6,67.1,3.8,7.8,19.3,2.3,19.5,5.0,5.8
230,"飯豊　まりえ",18.6,57.6,1.1,9.7,14.9,3.3,18.9,3.4,5.5
237,"河北　麻友子",18.5,76.0,10.3,7.7,22.6,2.5,18.1,4.1,7.4
237,"伊原　六花",18.5,50.3,2.7,8.2,14.3,2.6,18.7,4.4,1.9
239,"松本　伊代",18.4,96.1,19.7,5.4,33.8,3.4,15.3,1.0,8.4
239,"長濱　ねる",18.4,56.5,1.1,8.9,12.2,2.6,27.1,1.1,2.7
241,"小雪",18.2,90.7,2.2,10.1,33.8,8.1,4.1,11.3,35.6
241,"柏木　由紀",18.2,84.8,6.0,9.6,22.5,2.1,25.8,2.2,5.3
241,"濱田　マリ",18.2,81.1,21.6,2.8,38.8,5.4,3.0,4.7,11.6
244,"北乃　きい",18.1,78.1,3.1,10.8,21.0,2.4,21.4,2.1,2.7
244,"中越　典子",18.1,65.1,1.5,8.2,16.4,5.0,11.7,3.1,14.8
244,"齋藤　飛鳥",18.1,55.3,2.1,10.2,14.1,1.2,27.8,3.6,1.8
247,"山之内　すず",18.0,66.0,4.8,8.0,17.0,1.6,23.5,1.2,2.0
247,"鷲見　玲奈",18.0,59.9,1.8,6.5,14.5,2.8,17.1,4.5,9.0
249,"宇賀　なつみ",17.9,56.1,1.3,7.3,11.4,7.3,12.4,3.7,10.1
250,"きゃり－ぱみゅぱみゅ",17.7,93.8,8.7,4.8,45.2,1.6,24.8,4.1,2.3
250,"蛯原　友里",17.7,80.2,1.0,10.6,17.7,3.6,21.5,12.4,16.0
250,"筧　美和子",17.7,68.9,2.1,7.2,17.6,2.7,20.4,2.0,7.7
253,"坂下　千里子",17.6,84.6,21.2,5.3,25.2,2.3,9.6,1.3,4.9
254,"橋本　愛",17.5,56.6,2.0,9.3,21.0,4.9,16.4,6.8,6.2
255,"岡田　結実",17.3,72.9,11.5,6.7,17.1,2.7,18.1,1.3,1.5
255,"ぼる塾",17.3,73.6,35.5,0.7,28.4,1.1,1.5,0.2,0.5
255,"高橋　ひかる",17.3,42.1,3.3,9.2,10.2,2.1,20.0,2.0,2.4
258,"鈴木　砂羽",17.2,73.8,7.7,3.2,28.1,3.9,2.6,5.7,20.0
258,"趣里",17.2,58.7,2.3,5.5,29.7,3.7,9.7,3.8,3.4
258,"桜井　日奈子",17.2,50.2,2.4,8.7,13.8,1.8,20.2,1.1,2.0
261,"片桐　はいり",17.1,86.3,17.5,2.0,53.7,5.4,1.3,4.3,6.8
261,"藤田　ニコル",17.1,89.4,10.0,6.1,34.4,3.3,22.9,4.1,2.7
263,"小松　菜奈",17.0,56.2,0.5,7.9,24.3,3.0,13.5,10.2,5.9
263,"市川　紗椰",17.0,50.2,3.5,7.0,20.5,5.0,7.2,5.5,5.8
265,"長谷川　京子",16.8,85.3,1.3,7.7,23.3,4.2,7.7,13.0,33.1
265,"黒沢　かずこ",16.8,85.3,42.4,1.2,34.1,1.8,1.9,0.5,1.0
