"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/女性20～34歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
1,"サンドウィッチマン",55.3,89.6,58.4,3.9,13.5,23.8,4.1,3.3,7.5
2,"マツコ・デラックス",53.4,91.1,48.2,4.3,34.2,24.6,3.7,4.4,8.3
3,"千鳥",46.6,89.4,57.4,1.5,16.6,7.5,1.4,1.7,2.5
4,"チョコレ－トプラネット",43.7,86.3,56.7,1.9,16.6,8.3,2.3,1.5,1.7
5,"山田　涼介",42.0,87.6,14.3,21.5,6.8,10.6,19.9,53.4,8.1
6,"大谷　翔平",40.0,89.4,2.3,21.1,7.4,26.3,4.1,31.9,7.5
7,"ムロツヨシ",39.8,86.1,44.1,3.5,35.6,8.7,1.5,4.4,8.7
8,"櫻井　翔",39.1,89.7,12.0,19.5,7.5,22.1,7.9,35.2,14.3
8,"大泉　洋",39.1,87.0,46.0,5.4,28.0,13.0,2.1,5.4,10.6
10,"相葉　雅紀",38.9,88.8,20.5,16.1,9.1,14.5,13.0,28.6,8.1
11,"鈴木　亮平",38.5,83.6,10.4,12.8,12.2,16.2,1.2,31.3,25.7
12,"阿部　寛",37.9,87.4,8.7,5.4,18.4,13.3,1.0,27.1,39.8
13,"神木　隆之介",37.7,85.3,7.2,17.6,8.3,11.6,14.3,26.1,4.8
14,"秋山　竜次",37.5,87.6,56.3,1.4,32.1,5.4,1.5,1.5,1.9
15,"博多華丸・大吉",36.8,86.7,41.6,4.6,9.7,13.9,2.5,3.7,7.7
15,"目黒　蓮",36.8,84.9,6.8,20.5,6.8,9.1,8.5,47.2,9.3
17,"二宮　和也",36.6,90.1,24.4,13.3,14.3,11.6,11.0,29.6,9.1
18,"吉沢　亮",36.0,86.3,7.5,18.6,6.4,7.7,5.4,53.0,8.5
19,"松本　潤",35.6,90.3,9.1,13.0,11.8,13.3,6.2,43.3,16.1
19,"ＤＡＩＧＯ",35.6,88.8,32.7,11.2,18.0,12.6,2.9,19.3,6.4
21,"山下　智久",34.4,86.8,2.7,12.6,5.4,7.7,3.9,51.1,15.1
22,"横浜　流星",34.2,83.8,2.3,16.1,7.0,8.3,3.5,48.4,7.5
23,"菊池　風磨",34.0,83.9,35.0,8.5,11.0,7.2,6.2,26.9,4.8
24,"バカリズム",33.8,87.4,46.2,3.3,29.0,9.9,2.3,0.8,1.9
25,"岡田　将生",33.7,82.8,4.4,18.8,6.4,5.6,8.3,45.8,10.4
26,"小栗　旬",33.1,89.7,7.0,7.5,12.0,8.9,1.7,39.3,26.9
26,"遠藤　憲一",33.1,83.6,24.4,2.5,22.8,8.1,5.2,9.1,20.9
28,"賀来　賢人",32.9,81.8,21.1,10.3,12.8,8.1,2.3,30.4,11.0
29,"中村　倫也",32.5,83.0,12.0,11.6,16.2,7.4,8.7,28.8,15.1
30,"西島　秀俊",32.3,82.0,2.9,9.3,5.2,8.9,1.5,29.8,35.4
30,"津田　健次郎",32.3,63.2,5.4,7.0,10.8,7.9,1.4,28.6,30.4
32,"山崎　賢人",32.1,85.3,3.9,14.1,5.6,5.4,5.6,45.8,5.2
32,"かまいたち",32.1,85.7,49.3,1.2,12.8,3.9,1.2,1.7,1.5
34,"松坂　桃李",31.9,85.3,3.5,16.2,6.8,7.5,4.8,38.9,13.9
35,"中島　健人",31.5,84.3,13.5,14.7,12.4,8.5,10.4,47.6,7.0
35,"山崎　弘也",31.5,84.9,53.4,2.3,18.2,7.2,1.7,1.0,1.2
37,"佐藤　健",30.9,86.3,3.3,10.6,5.4,5.8,2.5,45.5,16.6
37,"シソンヌ",30.9,73.5,38.7,2.7,17.0,4.1,1.0,1.0,2.3
39,"内村　光良",30.2,86.8,42.9,6.8,8.9,16.1,2.5,3.3,7.5
40,"玉木　宏",30.0,84.3,2.1,8.3,8.3,7.7,1.5,35.8,36.6
41,"村上　信五",29.8,83.4,42.6,4.8,10.8,9.1,2.3,8.3,3.5
42,"松重　豊",29.2,76.8,7.4,6.2,13.3,12.6,1.4,11.4,28.6
42,"道枝　駿佑",29.2,71.0,2.9,16.1,3.9,3.7,27.3,32.3,2.1
44,"原田　泰造",29.0,85.7,44.9,4.3,11.4,7.2,2.1,7.9,9.5
45,"日村　勇紀",28.8,86.5,49.1,1.2,21.5,5.2,4.1,1.2,0.8
46,"竹野内　豊",28.4,76.6,2.1,7.0,8.5,6.8,1.2,33.3,41.4
47,"生田　斗真",28.2,85.7,7.5,10.8,6.8,4.6,5.2,42.2,10.6
47,"佐藤　二朗",28.2,81.6,34.8,0.8,32.5,4.1,1.5,2.1,2.7
49,"木村　拓哉",28.0,89.0,3.7,10.8,8.5,13.7,0.8,43.9,31.7
49,"志尊　淳",28.0,78.9,3.1,11.6,4.6,5.0,14.9,34.6,5.0
51,"菅田　将暉",27.9,88.0,6.8,7.5,29.0,6.4,3.1,29.2,6.6
51,"明石家　さんま",27.9,89.7,47.2,2.5,17.4,9.1,0.4,1.9,4.6
