"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/男性20～34歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
1,"サンドウィッチマン",59.9,84.6,57.3,2.9,14.2,15.6,2.9,5.1,9.6
2,"大谷　翔平",52.0,84.7,4.6,19.9,9.8,22.1,3.6,36.4,9.3
3,"千鳥",50.1,83.2,52.1,0.7,18.2,6.3,0.7,2.6,4.3
4,"マツコ・デラックス",48.2,85.1,40.5,1.5,31.0,16.5,1.9,1.7,6.2
5,"阿部　寛",46.8,79.4,8.9,3.4,21.4,11.1,2.2,31.4,36.2
6,"秋山　竜次",44.4,79.9,44.4,1.2,29.2,3.8,1.2,1.9,3.3
7,"チョコレ－トプラネット",44.3,77.7,46.1,2.1,16.5,5.7,1.5,1.9,2.4
8,"なかやまきんに君",43.2,80.4,36.4,4.5,20.2,8.4,1.9,3.8,3.4
9,"春日　俊彰",42.2,81.3,42.5,3.3,20.6,6.0,1.9,2.7,2.7
10,"大泉　洋",41.3,78.4,38.4,3.6,23.0,9.9,1.5,7.2,11.0
11,"小峠　英二",39.6,78.7,43.6,2.6,16.6,6.9,2.2,2.2,3.1
12,"かまいたち",39.1,79.8,41.9,1.2,15.1,4.5,0.9,1.5,1.5
13,"日村　勇紀",38.9,75.8,41.5,0.5,21.4,5.0,2.1,0.7,1.7
14,"バカリズム",38.4,77.7,40.5,0.9,22.0,6.5,1.9,2.1,3.1
15,"堺　雅人",38.1,74.6,8.1,7.7,19.2,13.2,2.6,13.6,17.0
16,"博多華丸・大吉",37.9,77.0,38.6,3.3,9.8,9.6,1.0,2.6,8.4
17,"内村　光良",37.4,77.5,35.2,5.0,11.0,12.0,1.5,4.6,8.4
18,"出川　哲朗",37.2,83.2,43.2,1.2,20.2,5.8,3.3,2.1,1.9
19,"有吉　弘行",36.7,80.8,36.5,3.6,15.6,9.3,1.5,1.5,5.3
20,"明石家　さんま",36.4,83.9,44.1,3.3,19.9,9.6,0.9,4.1,6.3
21,"ナイツ",35.5,75.5,38.9,1.0,11.7,5.3,0.3,1.0,2.4
22,"有田　哲平",35.3,78.6,41.0,2.7,16.0,6.3,1.0,3.3,4.6
22,"山崎　弘也",35.3,75.3,43.1,1.2,17.3,5.1,1.5,1.5,1.7
24,"浜田　雅功",34.8,78.2,39.5,2.7,15.6,6.9,1.9,2.7,5.0
25,"タモリ",34.6,83.5,20.8,3.1,22.3,17.3,1.5,6.0,17.2
25,"タカアンドトシ",34.6,80.1,39.8,1.2,11.7,5.1,1.5,1.5,1.2
27,"上田　晋也",34.1,78.4,35.8,1.5,10.5,9.3,1.5,2.7,4.1
28,"藤原　竜也",34.0,74.6,8.7,6.5,21.6,6.9,1.0,18.5,11.3
29,"霜降り明星",33.8,78.7,39.8,0.9,16.5,3.4,1.2,2.1,1.4
30,"若林　正恭",33.3,72.2,36.4,2.9,13.4,6.9,2.2,1.9,2.7
31,"劇団ひとり",32.9,78.2,37.0,2.2,19.0,5.7,1.0,2.2,4.8
32,"川島　明",32.8,70.0,32.1,5.5,9.8,9.1,1.2,4.5,7.4
33,"飯尾　和樹",32.6,70.5,32.8,1.4,17.7,6.2,1.0,1.5,4.1
33,"山田　孝之",32.6,70.0,17.8,1.7,23.5,6.0,1.0,18.9,17.7
35,"ＤＡＩＧＯ",32.2,79.2,21.4,8.2,14.9,7.9,2.7,16.1,5.0
36,"小島　よしお",32.1,79.1,36.7,2.1,17.0,8.4,1.9,3.4,3.6
36,"陣内　智則",32.1,75.8,35.0,1.5,11.7,2.6,0.7,2.6,1.9
38,"遠藤　憲一",31.9,68.6,13.7,1.4,15.8,6.5,1.7,8.6,17.3
39,"設楽　統",31.7,73.2,32.9,3.4,10.3,7.4,1.9,3.4,6.3
40,"所　ジョ－ジ",31.4,80.4,23.0,3.3,22.8,11.5,0.7,10.3,17.5
40,"原田　泰造",31.4,73.1,33.6,3.6,12.2,6.0,0.9,5.0,6.5
42,"ムロツヨシ",31.2,72.4,28.5,2.4,23.8,6.3,1.5,4.1,6.7
43,"サンシャイン池崎",31.0,79.4,34.0,1.2,17.2,5.3,1.4,2.2,2.1
43,"松重　豊",31.0,61.7,5.0,3.3,14.6,6.5,0.3,8.7,21.3
45,"小栗　旬",30.7,76.0,5.3,7.4,11.5,6.9,0.3,37.4,18.9
45,"二宮　和也",30.7,78.7,11.7,10.3,12.5,7.7,5.7,23.3,7.4
47,"木村　拓哉",30.5,80.4,3.8,9.4,12.7,10.1,1.4,41.5,24.9
48,"カズレ－ザ－",30.2,78.7,27.6,2.2,18.5,14.1,0.7,4.1,2.2
49,"ケンド－コバヤシ",30.0,75.5,34.5,2.1,16.3,5.0,0.9,5.1,8.4
50,"宮川　大輔",29.8,77.9,37.7,1.2,12.5,3.4,0.7,2.2,2.1
50,"鈴木　亮平",29.8,66.7,8.6,9.1,10.5,7.7,1.5,23.2,16.5
52,"福山　雅治",29.7,76.5,7.7,11.8,8.2,7.9,0.9,32.8,27.1
53,"ビ－トたけし（北野　武）",28.8,81.6,22.8,1.4,23.7,9.6,0.9,7.7,11.0
54,"タイムマシ－ン３号",28.6,65.7,35.2,2.2,9.3,3.9,1.5,0.5,1.2
55,"シソンヌ",28.5,66.9,31.4,0.7,12.9,2.6,1.4,0.5,0.9
56,"星野　源",28.3,76.0,7.7,9.1,18.0,5.7,2.2,9.3,8.1
57,"桑田　佳祐",28.1,72.2,7.0,1.4,15.8,7.0,1.2,12.9,17.2
57,"津田　健次郎",28.1,47.0,4.3,3.4,9.1,6.3,1.4,18.0,18.5
