"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/女性35～49歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
1,"サンドウィッチマン",69.1,97.8,71.4,4.7,22.1,32.3,5.4,4.7,11.0
2,"マツコ・デラックス",59.7,98.1,55.1,3.4,49.3,28.9,3.3,3.9,8.6
3,"鈴木　亮平",56.0,94.9,14.9,21.5,25.0,26.6,3.4,40.9,34.5
4,"大泉　洋",52.9,97.2,59.9,5.3,44.3,15.4,2.6,8.7,12.8
5,"阿部　寛",50.1,96.7,12.9,5.9,33.3,20.4,1.7,36.5,57.7
6,"竹野内　豊",49.5,96.1,3.3,16.2,12.6,13.8,1.6,57.7,60.8
7,"チョコレ－トプラネット",49.1,92.5,63.1,3.6,27.5,6.4,5.4,2.5,2.3
8,"大谷　翔平",48.7,96.7,3.1,33.0,12.1,33.4,8.6,35.1,7.6
8,"博多華丸・大吉",48.7,95.6,52.7,7.5,14.9,17.4,2.8,4.8,16.8
10,"西島　秀俊",46.2,93.6,4.5,14.2,11.5,13.1,3.3,42.0,53.7
11,"秋山　竜次",45.3,95.8,63.5,1.7,48.2,7.0,2.8,2.2,3.0
12,"千鳥",44.2,95.8,59.1,1.1,26.4,7.8,1.4,3.4,4.2
13,"飯尾　和樹",43.7,93.6,54.6,2.5,34.2,10.4,4.4,1.4,6.1
14,"松重　豊",43.1,91.4,11.2,7.2,29.2,17.0,1.9,15.6,44.0
15,"タモリ",42.5,97.7,34.1,5.9,38.3,33.6,2.0,5.0,17.9
15,"阿部　サダヲ",42.5,94.2,37.3,4.0,55.2,10.3,4.5,3.7,10.3
15,"吉沢　亮",42.5,91.4,6.5,21.0,10.0,7.3,8.6,55.5,6.8
