"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/男性35～49歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
1,"サンドウィッチマン",65.7,93.3,59.1,4.4,24.4,22.9,3.2,4.9,11.7
2,"大谷　翔平",57.6,92.7,3.5,25.8,16.3,28.9,5.9,38.8,9.3
3,"阿部　寛",56.9,90.7,11.1,5.6,32.0,17.0,1.0,41.0,48.6
4,"タモリ",50.6,94.8,33.1,6.0,39.9,29.5,1.7,6.9,28.8
5,"大泉　洋",50.1,91.6,47.9,5.9,40.6,12.5,2.4,6.9,13.9
6,"千鳥",46.9,91.4,51.3,1.3,26.7,6.0,1.5,3.5,4.4
6,"博多華丸・大吉",46.9,89.5,43.1,5.9,20.4,14.7,1.8,4.1,12.6
8,"高田　純次",46.6,89.3,46.3,3.1,36.5,7.2,1.8,11.9,23.6
9,"内村　光良",46.5,92.0,42.0,6.9,21.3,19.4,2.1,4.8,14.9
10,"マツコ・デラックス",45.8,93.3,37.6,2.5,44.4,21.5,1.5,2.0,5.8
11,"なかやまきんに君",44.8,91.4,37.9,6.2,32.7,6.9,3.7,4.1,2.2
12,"明石家　さんま",44.1,94.8,52.5,3.4,33.7,14.9,1.7,6.3,11.9
13,"チョコレ－トプラネット",43.4,85.0,48.0,2.5,22.9,6.2,2.4,2.5,1.4
14,"所　ジョ－ジ",43.3,93.3,35.3,6.6,40.0,20.1,1.4,15.3,27.2
15,"秋山　竜次",42.4,89.2,52.2,1.5,39.6,7.2,1.4,2.9,3.2
16,"山崎　弘也",42.1,87.2,52.4,2.0,29.5,4.9,2.7,1.7,1.7
16,"鈴木　亮平",42.1,81.5,10.1,14.2,21.6,17.4,1.0,28.5,21.3
18,"堺　雅人",41.6,88.9,8.6,11.8,29.5,13.6,1.3,15.4,25.0
19,"さまぁ～ず",40.6,92.3,43.7,2.8,23.2,7.6,2.5,2.5,9.7
20,"ナイツ",40.4,87.2,44.5,1.5,21.5,7.7,0.8,1.7,4.6
20,"飯尾　和樹",40.4,83.8,43.3,2.8,31.0,9.6,2.4,1.5,3.9
20,"山田　孝之",40.4,86.5,15.6,2.2,38.6,10.0,1.4,21.1,18.0
23,"日村　勇紀",40.2,88.3,47.2,2.8,33.1,7.6,5.1,2.4,2.0
23,"松重　豊",40.2,77.8,6.6,4.5,25.7,12.4,1.0,10.7,32.6
25,"ビ－トたけし（北野　武）",39.7,93.5,26.7,1.5,37.9,17.7,0.4,12.5,20.9
25,"出川　哲朗",39.7,92.4,47.3,1.3,32.7,6.5,6.2,2.7,2.1
27,"春日　俊彰",39.5,90.4,45.6,3.9,33.0,4.8,2.7,2.4,1.8
28,"有吉　弘行",38.2,93.4,41.6,3.4,25.6,10.1,0.8,3.2,3.5
28,"小峠　英二",38.2,88.3,48.5,3.2,30.8,8.8,3.1,2.5,3.5
28,"バカリズム",38.2,88.2,43.7,2.8,35.3,8.4,2.7,1.3,3.4
31,"若林　正恭",38.1,85.0,40.6,3.1,22.2,9.0,3.5,2.0,1.4
32,"桑田　佳祐",37.9,90.7,14.0,3.2,30.9,12.4,0.8,15.9,26.5
32,"タカアンドトシ",37.9,91.6,45.8,1.8,18.0,6.7,1.8,1.0,1.4
34,"ケンド－コバヤシ",37.4,89.9,47.5,1.5,30.2,6.7,1.1,5.8,9.6
35,"浜田　雅功",37.1,92.3,44.2,2.2,25.3,8.7,1.5,3.9,6.2
36,"劇団ひとり",36.7,89.9,45.5,2.8,35.1,5.3,1.1,2.0,2.8
37,"藤原　竜也",36.4,87.4,6.5,7.0,31.7,9.1,1.7,25.0,11.5
