"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"女性ﾀﾚﾝﾄ/男性20～34歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
1,"新垣　結衣",45.1,78.4,2.9,19.0,7.7,8.1,44.3,5.3,11.8
2,"長澤　まさみ",39.3,73.8,6.3,12.3,8.1,7.9,26.4,13.9,22.3
3,"有村　架純",35.7,73.8,1.9,12.3,5.8,6.0,39.3,2.9,7.9
4,"綾瀬　はるか",35.3,75.8,7.5,13.6,7.7,7.0,27.6,5.1,16.6
5,"吉岡　里帆",33.4,65.7,5.1,13.6,5.8,3.9,31.0,2.1,10.3
6,"芦田　愛菜",33.3,75.3,5.1,15.8,8.2,17.2,28.0,4.5,4.5
7,"石原　さとみ",32.9,74.8,1.7,12.0,6.2,5.1,33.6,5.8,17.0
8,"阿佐ヶ谷姉妹",32.2,78.4,41.2,2.1,21.3,5.8,0.7,2.1,3.8
9,"橋本　環奈",31.9,79.6,8.6,9.1,10.6,3.1,41.3,2.6,3.1
10,"本田　翼",31.4,73.8,6.2,9.9,7.5,2.9,34.0,3.1,5.3
11,"広瀬　すず",30.9,79.6,1.9,12.2,6.9,4.6,37.2,3.1,5.1
12,"浜辺　美波",30.7,66.6,1.4,13.4,3.1,4.8,36.5,1.4,5.0
13,"北川　景子",28.8,70.5,4.1,11.1,5.0,6.7,17.3,20.1,24.0
13,"白石　麻衣",28.8,65.5,4.3,12.7,4.5,4.5,34.1,5.3,8.4
15,"今田　美桜",28.5,57.8,2.4,9.8,5.1,3.6,34.5,3.4,6.5
16,"戸田　恵梨香",28.3,65.9,4.1,8.2,6.5,5.7,19.9,9.9,11.8
17,"川口　春奈",28.1,63.1,7.2,9.9,6.0,5.5,28.3,4.1,5.7
18,"深田　恭子",27.8,68.6,1.2,5.8,7.0,2.7,30.5,2.4,23.3
19,"吉高　由里子",27.6,63.1,8.4,4.8,13.6,4.1,22.6,3.4,8.6
20,"上戸　彩",27.1,74.4,3.3,11.1,5.0,6.2,25.4,4.1,14.9
21,"近藤　春菜",26.2,75.8,41.3,1.4,15.4,5.0,1.2,1.9,1.9
22,"いとう　あさこ",25.7,76.3,38.8,1.4,14.4,5.8,2.2,2.6,2.9
23,"小池　栄子",25.6,64.7,14.8,3.9,8.9,8.2,5.0,13.7,22.6
23,"福原　遥",25.6,54.0,2.6,9.4,4.1,4.5,28.8,1.2,2.9
25,"宇多田　ヒカル",25.4,76.5,1.5,3.1,17.2,6.2,3.1,13.6,13.4
26,"仲間　由紀恵",25.0,70.5,5.0,7.2,8.6,7.4,3.9,8.9,24.9
26,"天海　祐希",25.0,65.2,5.5,6.9,6.0,8.2,2.2,23.5,25.4
28,"齋藤　飛鳥",24.7,60.2,2.7,6.3,7.5,2.7,31.4,5.1,3.3
28,"朝日　奈央",24.7,58.1,21.3,2.7,7.4,4.5,12.5,2.2,2.7
30,"ガンバレル－ヤ",24.4,75.5,39.6,0.3,17.8,2.2,1.7,1.2,1.0
31,"大久保　佳代子",24.2,72.0,37.6,1.0,15.6,5.8,1.5,2.4,5.8
31,"佐々木　希",24.2,68.4,1.0,10.1,5.1,5.1,30.7,5.8,9.3
33,"佐藤　栞里",24.0,61.6,8.6,7.5,8.7,7.7,17.0,1.5,3.6
34,"友近",23.7,71.7,34.8,1.9,14.4,4.1,1.5,1.9,4.6
35,"あの",23.3,76.8,13.0,2.9,36.4,2.7,19.4,3.8,2.6
35,"広瀬　アリス",23.3,69.0,9.6,4.8,6.9,3.4,21.6,4.3,5.0
35,"生見　愛瑠",23.3,56.6,5.3,7.0,4.3,2.1,26.2,2.1,1.9
35,"生田　絵梨花",23.3,54.4,3.4,8.6,5.8,3.8,24.2,3.6,4.5
39,"波瑠",23.0,58.8,2.7,9.3,5.0,2.2,16.1,4.6,9.6
39,"西野　七瀬",23.0,57.8,1.7,8.7,4.5,1.7,28.3,2.2,2.9
41,"米倉　涼子",22.8,71.5,3.6,4.6,8.4,4.3,3.1,21.4,25.9
42,"池田　エライザ",22.6,62.4,2.1,5.8,11.5,2.4,21.1,10.3,10.6
42,"幾田　りら",22.6,57.5,1.9,4.6,9.8,3.6,18.0,5.0,2.1
44,"高畑　充希",21.8,62.1,2.9,7.2,8.2,4.8,19.0,3.4,5.3
45,"イモトアヤコ",21.6,75.8,35.8,1.9,17.7,5.3,1.9,3.3,1.9
46,"多部　未華子",21.3,60.5,1.7,7.2,7.0,4.5,19.7,3.6,8.2
47,"渡辺　直美",21.1,77.7,32.4,1.5,26.9,4.8,2.4,5.8,3.4
47,"小芝　風花",21.1,47.7,3.3,7.4,2.7,3.6,19.7,2.1,3.3
49,"柴咲　コウ",20.8,65.0,1.5,5.3,6.3,3.8,8.7,13.6,20.4
50,"松　たか子",20.6,65.9,3.4,7.0,6.7,7.9,6.7,7.9,22.3
51,"杏",20.4,65.4,3.1,8.1,8.7,6.2,8.6,11.5,15.8
51,"田中　みな実",20.4,67.8,5.0,8.9,10.1,3.9,20.4,4.8,15.8
53,"松嶋　菜々子",20.2,60.0,1.4,8.1,4.1,7.2,7.5,9.9,25.0
54,"志田　未来",20.1,55.4,1.5,6.2,4.6,4.3,18.2,2.1,3.8
54,"松岡　茉優",20.1,50.6,3.4,6.2,5.8,3.6,20.2,2.2,4.8
56,"椿　鬼奴",19.9,69.8,31.2,0.9,16.1,2.6,0.7,3.9,4.6
56,"石川　佳純",19.9,56.8,2.1,6.3,3.3,4.6,14.4,6.2,1.7
56,"長濱　ねる",19.9,49.9,1.0,6.0,5.1,2.9,23.7,1.5,3.6
59,"上白石　萌歌",19.6,64.0,2.2,7.5,6.5,4.1,21.3,1.5,3.1
59,"のん",19.6,55.6,3.1,6.9,10.1,3.3,16.3,3.4,2.7
61,"森　香澄",19.4,52.1,3.4,6.0,4.3,1.5,25.7,1.5,2.9
62,"伊藤　沙莉",19.2,50.3,6.7,4.3,13.2,4.6,9.6,2.9,2.9
63,"ヒコロヒ－",19.0,60.4,25.9,1.4,14.8,2.2,1.7,8.6,5.8
63,"中条　あやみ",19.0,54.2,1.9,6.9,4.5,2.4,19.0,5.7,7.2
65,"桐谷　美玲",18.9,63.6,1.5,9.4,3.4,3.4,24.4,4.5,7.9
65,"本田　望結",18.9,66.4,2.9,4.1,4.6,1.5,23.3,1.0,2.9
65,"野呂　佳代",18.9,55.1,22.3,1.4,7.5,2.7,5.7,0.9,3.1
68,"ファ－ストサマ－ウイカ",18.7,61.2,18.4,2.2,13.0,2.9,3.1,7.0,5.8
68,"川栄　李奈",18.7,55.4,5.3,4.6,5.3,1.5,19.2,1.5,2.9
70,"渋谷　凪咲",18.5,44.1,14.9,3.3,5.1,2.1,16.1,0.7,1.9
71,"えなこ",18.4,52.3,1.9,3.1,8.9,2.2,25.2,2.1,4.5
72,"池田　美優",18.2,70.2,9.6,3.3,13.0,3.4,14.8,6.3,3.8
72,"二階堂　ふみ",18.2,60.4,1.7,5.3,10.3,4.1,15.6,6.2,8.7
72,"若槻　千夏",18.2,64.2,16.8,2.2,10.1,2.9,6.3,2.4,2.6
75,"榮倉　奈々",18.0,56.1,2.2,6.2,5.0,2.9,11.8,6.9,10.5
75,"磯山　さやか",18.0,50.8,7.5,3.8,4.6,2.7,13.2,2.1,10.3
77,"指原　莉乃",17.7,70.3,15.1,2.6,9.1,3.4,9.3,1.7,3.8
77,"滝沢　カレン",17.7,67.2,21.3,2.6,17.0,2.1,8.7,2.9,4.1
77,"比嘉　愛未",17.7,40.7,1.4,5.8,2.6,4.3,13.6,3.9,10.5
80,"黒沢　かずこ",17.5,69.5,33.6,1.0,13.4,1.7,1.9,1.4,1.4
80,"宮崎　あおい",17.5,55.9,1.2,7.9,5.1,3.3,18.5,2.1,8.4
82,"藤田　ニコル",17.3,74.4,8.1,2.6,12.0,3.8,16.6,1.9,2.7
82,"王林",17.3,60.9,14.8,2.9,13.7,1.2,16.5,1.5,3.3
82,"新木　優子",17.3,42.7,0.5,5.8,4.6,2.1,17.5,5.0,6.9
85,"ゆりやんレトリィバァ",17.2,75.8,32.1,0.7,24.2,1.9,1.2,2.6,1.7
86,"ロ－ラ",17.0,74.8,11.3,3.8,18.9,2.4,12.9,9.3,8.4
86,"倉科　カナ",17.0,47.2,1.0,5.3,4.1,1.9,17.0,2.1,8.2
86,"満島　ひかり",17.0,49.1,1.5,4.3,9.9,3.6,7.9,7.5,9.1
86,"内田　有紀",17.0,44.8,1.7,6.5,2.6,3.6,12.0,7.5,17.8
86,"木村　文乃",17.0,47.3,1.5,6.2,2.7,2.9,13.2,3.8,9.9
91,"やす子",16.8,78.0,24.5,2.1,19.6,4.1,3.3,1.9,1.9
91,"山下　美月",16.8,42.0,2.6,7.2,3.4,2.2,18.9,1.4,2.9
91,"芳根　京子",16.8,41.9,1.4,7.2,3.9,2.6,16.8,1.7,4.3
91,"影山　優佳",16.8,40.1,3.1,4.6,7.0,5.0,16.8,2.6,1.9
95,"サ－ヤ",16.6,49.7,21.4,2.1,9.1,3.1,5.7,4.5,1.5
95,"谷　まりあ",16.6,43.9,5.1,2.6,3.9,1.5,16.1,1.7,3.8
97,"菜々緒",16.5,62.8,1.2,5.8,7.2,3.3,5.5,19.9,17.7
97,"菅野　美穂",16.5,53.9,5.1,5.8,6.3,4.3,8.1,4.5,13.6
97,"小松　菜奈",16.5,51.6,0.5,5.0,15.1,4.1,11.0,9.4,8.6
100,"秋元　真夏",16.3,42.5,5.0,4.5,5.3,2.1,17.2,0.9,2.6
101,"大島　優子",16.1,66.0,4.6,4.5,5.3,2.9,18.5,2.6,5.0
101,"仲　里依紗",16.1,55.9,8.2,1.5,13.4,2.7,6.9,4.8,6.5
