"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"女性ﾀﾚﾝﾄ/女性50～69歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
1,"天海　祐希",66.1,97.0,15.7,22.2,27.5,28.9,4.8,57.0,62.3
2,"綾瀬　はるか",64.3,97.8,19.9,35.9,24.8,15.1,47.8,18.7,16.6
3,"北川　景子",57.4,97.7,7.6,32.9,19.4,16.6,26.2,37.0,34.6
4,"芦田　愛菜",56.3,95.8,4.9,39.2,16.5,31.1,50.9,4.2,1.4
5,"阿佐ヶ谷姉妹",52.9,97.0,53.9,5.9,36.7,15.1,4.5,1.6,8.3
5,"石田　ゆり子",52.9,97.0,3.7,28.2,14.2,14.8,31.2,9.5,48.5
7,"内田　有紀",51.2,95.2,2.2,19.3,18.4,11.8,28.3,21.3,33.1
8,"長澤　まさみ",50.8,97.1,12.5,21.8,26.2,11.9,28.4,28.1,19.4
9,"小池　栄子",49.8,97.0,25.8,7.0,35.4,19.4,5.9,35.0,32.5
10,"松　たか子",49.2,98.4,6.9,23.4,22.1,22.7,12.3,17.0,31.1
11,"いとう　あさこ",48.3,97.1,59.1,3.8,34.8,18.0,4.5,5.7,5.8
12,"新垣　結衣",48.2,95.3,2.6,31.4,13.7,9.5,53.2,7.3,7.1
13,"江口　のりこ",47.0,89.2,9.8,4.0,55.4,15.7,1.5,19.1,22.7
13,"伊藤　沙莉",47.0,83.8,18.6,7.0,37.6,11.6,20.7,5.8,2.2
15,"多部　未華子",46.4,91.9,2.8,21.3,24.7,8.5,42.0,4.1,4.9
16,"杏",46.3,96.6,2.9,18.6,33.3,19.2,7.1,39.0,29.0
17,"安藤　サクラ",46.0,92.7,9.7,5.5,51.6,16.2,4.3,16.4,22.2
18,"松嶋　菜々子",44.2,98.0,1.3,21.7,15.3,11.8,14.1,23.7,51.7
18,"深津　絵里",44.2,94.8,1.2,15.5,32.2,14.3,12.9,16.1,30.7
20,"木村　佳乃",43.5,95.5,18.5,16.1,21.4,16.2,9.0,17.9,34.8
20,"吉田　羊",43.5,93.9,7.8,9.4,33.4,11.2,3.3,29.3,48.0
22,"夏木　マリ",42.8,97.7,5.9,3.1,48.2,15.8,1.7,48.4,60.1
23,"戸田　恵子",42.4,94.1,10.7,5.9,31.3,22.8,2.8,19.9,38.0
23,"渡辺　直美",42.4,97.7,53.6,2.0,60.2,8.6,11.4,20.8,4.7
23,"米倉　涼子",42.4,97.3,4.8,9.7,29.6,12.9,4.8,56.0,47.0
26,"吉永　小百合",42.0,98.5,1.4,32.1,14.8,29.5,11.3,10.9,66.2
27,"広瀬　アリス",41.7,93.4,17.1,13.4,18.3,6.8,34.8,11.3,6.1
28,"薬師丸　ひろ子",41.6,98.4,2.8,15.3,24.4,15.9,14.3,8.1,43.8
28,"山口　智子",41.6,96.9,5.9,10.9,25.5,13.0,8.3,34.7,44.9
30,"小芝　風花",41.4,82.5,6.2,21.5,14.8,7.0,47.5,5.9,3.6
31,"吉高　由里子",41.3,93.8,11.9,12.7,36.4,6.2,32.7,11.3,11.8
32,"木村　多江",41.0,92.7,4.8,13.3,29.8,14.0,5.7,11.6,48.3
33,"仲間　由紀恵",40.6,97.3,5.2,15.0,22.7,13.9,10.9,15.1,32.0
34,"川口　春奈",40.5,88.4,12.8,19.1,14.2,6.5,49.9,8.6,2.8
35,"今田　美桜",40.0,81.4,1.7,19.4,11.9,4.2,57.3,3.7,1.5
36,"鈴木　京香",39.9,96.5,1.7,12.9,18.4,13.7,5.5,22.4,63.6
37,"上戸　彩",39.7,98.3,4.9,23.6,14.6,10.9,44.4,5.7,10.6
38,"高畑　充希",39.5,92.0,4.4,16.2,25.0,9.7,33.1,7.5,5.4
39,"菅野　美穂",39.3,95.6,9.8,11.8,25.0,12.8,19.0,7.7,16.9
40,"佐藤　栞里",38.1,85.6,12.5,19.1,14.1,10.7,42.6,1.5,0.9
41,"松下　由樹",38.0,95.5,5.6,7.6,18.6,13.4,4.1,12.6,34.1
42,"浅田　真央",37.5,98.0,2.1,25.1,18.3,12.1,29.5,8.0,2.6
42,"柴咲　コウ",37.5,96.6,1.3,8.8,33.5,8.0,9.5,34.0,28.9
42,"有村　架純",37.5,92.7,1.9,24.2,12.9,7.1,50.5,2.7,5.7
45,"蒼井　優",37.1,95.2,3.6,17.2,32.9,9.1,24.6,6.4,10.2
45,"石原　さとみ",37.1,96.6,2.3,20.3,18.3,9.2,45.5,8.0,12.0
