"順位","前回","前々回","タレント名","タレント名(全角カナ)","年齢","スコア","認知度","誘引率"
"1","11","2","山田涼介（Hey! Say! JUMP）","ヤマダリョウスケ（ヘイセイジャンプ）","32","55.8","24","69"
"2","23","5","新垣結衣","アラガキユイ","37","52.4","5","123"
"2","35","9","長澤まさみ","ナガサワマサミ","38","52.4","17","100"
"4","7","2","北川景子","キタガワケイコ","39","51.6","11","150"
"5","2","7","マツコ・デラックス","マツコデラックス","53","50.2","17","171"
"6","18","79","鈴木亮平","スズキリョウヘイ","42","49.6","82","134"
"6","59","45","松村北斗（SixTONES)","マツムラホクト（ストーンズ)","30","49.6","331","69"
"8","3","1","サンドウィッチマン","サンドウィッチマン","","48.7","68","216"
"8","46","91","吉沢亮","ヨシザワリョウ","31","48.7","151","100"
"10","20","63","中島健人","ナカジマケント（セクシー ゾーン）","31","48.4","137","129"
"10","44","49","松本潤（嵐）","マツモトジュン（アラシ）","42","48.4","2","336"
"12","24","54","髙橋海人（King & Prince）","タカハシカイト（キングアンドプリンス）","26","48.2","262","64"
"13","20","115","Hey! Say! JUMP","ヘイセイジャンプ","","48","198","118"
"14","40","53","相葉雅紀（嵐）","アイバマサキ（アラシ）","42","47.8","11","298"
"15","8","32","今田美桜","イマダミオ","28","46.9","114","204"
"15","11","49","バナナマン","バナナマン","","46.9","37","163"
"15","32","34","横浜流星","ヨコハマリュウセイ","29","46.9","94","231"
"18","82","91","多部未華子","タベミカコ","36","46.7","24","116"
"18","13","18","二宮和也（嵐）","ニノミヤカズナリ（アラシ）","42","46.7","52","587"
"20","35","22","水卜麻美","ミウラアサミ","38","46.4","82","189"
"21","1","29","石原さとみ","イシハラサトミ","38","45.6","52","375"
"22","55","58","吉高由里子","ヨシタカユリコ","37","45.3","3","309"
"23","90","72","大悟（千鳥）","ダイゴ（チドリ）","45","45.1","198","204"
"23","90","72","山﨑賢人","ヤマザキケント","31","45.1","68","216"
"25","18","14","櫻井翔（嵐）","サクライショウ（アラシ）","43","44.9","94","392"
"25","69","54","富澤たけし（サンドウィッチマン）","トミザワタケシ（サンドウィッチマン）","51","44.9","125","210"
"27","4","4","大泉洋","オオイズミヨウ","52","44.7","52","453"
"27","51","23","神木隆之介","カミキリュウノスケ","32","44.7","262","97"
"29","13","32","いとうあさこ","イトウアサコ","55","44.4","17","453"
"30","177","103","木村拓哉","キムラタクヤ（スマップ）","53","44.2","11","542"
"31","121","42","有村架純","アリムラカスミ","32","44","11","321"
"31","35","40","千鳥","チドリ","","44","151","230"
"33","27","25","綾瀬はるか","アヤセハルカ","40","43.8","24","381"
"34","57","76","川口春奈","カワグチハルナ","30","43.6","178","269"
"34","100","115","中村倫也","ナカムラトモヤ","38","43.6","125","342"
"34","8","40","山下智久","ヤマシタトモヒサ（ニュース）","40","43.6","52","587"
"37","32","49","芦田愛菜","アシダマナ","21","43.3","68","276"
"37","35","111","大橋和也（なにわ男子）","オオハシカズヤ(ナニワダンシ)","28","43.3","280","303"
"37","59","14","賀来賢人","カクケント","36","43.3","151","130"
"40","193","115","小栗旬","オグリシュン","42","43.1","3","467"
"40","157","256","堂本光一（DOMOTO（KinKi Kids））","ドウモトコウイチ（ドウモト（キンキキッズ））","46","43.1","37","386"
"40","32","10","道枝駿佑（なにわ男子）","ミチエダシュンスケ（ナニワダンシ）","23","43.1","280","194"
"43","26","96","オードリー","オードリー","","42.9","114","683"
"43","53","165","SixTONES","ストーンズ","","42.9","502","154"
"43","24","11","戸田恵梨香","トダエリカ","37","42.9","262","191"
"46","16","18","天海祐希","アマミユウキ","58","42.7","178","321"
"46","82","87","菅田将暉","スダマサキ","32","42.7","24","342"
"48","82","105","SUPER EIGHT(関ジャニ∞)","スーパーエイト(カンジャニエイト)","","42.4","293","103"
"48","27","63","DOMOTO(KinKi Kids)","ドウモト（キンキキッズ）","","42.4","402","53"
"48","163","157","若林正恭（オードリー）","ワカバヤシマサヤス（オードリー）","47","42.4","5","479"
"51","88","121","設楽統（バナナマン）","シタラオサム（バナナマン）","52","42.2","94","392"
"51","119","121","Snow Man","スノーマン","","42.2","125","514"
"51","202","214","なにわ男子","ナニワダンシ","","42.2","178","194"
"54","40","91","ノブ（千鳥）","ノブ（チドリ）","45","42","52","241"
"55","108","105","明石家さんま","アカシヤサンマ","70","41.8","1","700"
"55","157","203","仲間由紀恵","ナカマユキエ","46","41.8","24","342"
"55","123","105","仲里依紗","ナカリイサ","36","41.8","280","336"
"55","108","151","西島秀俊","ニシジマヒデトシ","54","41.8","178","103"
"55","66","72","間宮祥太朗","マミヤショウタロウ","32","41.8","313","216"
"60","177","67","川島明（麒麟）","カワシマアキラ（キリン)","46","41.6","82","189"
"60","225","96","高畑充希","タカハタミツキ","33","41.6","82","479"
"62","","25","DAIGO","ダイゴ","47","41.3","151","444"
"63","6","11","King & Prince","キングアンドプリンス","","41.1","137","429"
"63","49","111","中条あやみ","ナカジョウアヤミ","28","41.1","293","429"
"63","100","79","バカリズム","バカリズム","49","41.1","5","652"
"66","104","130","京本大我（SixTONES)","キョウモトタイガ（ストーンズ)","30","40.9","280","336"
"66","173","105","松本若菜","マツモトワカナ","41","40.9","515","31"
"66","20","14","渡辺直美","ワタナベナオミ","38","40.9","137","254"
"69","71","256","杏","アン","39","40.7","234","224"
"69","243","83","かまいたち","カマイタチ","","40.7","52","375"
"69","96","130","坂口健太郎","サカグチケンタロウ","34","40.7","293","204"
"69","141","124","ジェシー（SixTONES)","ジェシー（ストーンズ)","29","40.7","293","274"
"69","46","21","チョコレートプラネット","チョコレートプラネット","","40.7","262","191"
"74","100","130","北村匠海（DISH//）","キタムラタクミ（ディッシュ）","28","40.4","280","134"
"74","388","302","小芝風花","コシバフウカ","28","40.4","234","127"
"74","104","70","博多華丸（博多華丸・大吉）","ハカタハナマル（ハカタハナマルダイキチ）","55","40.4","280","336"
"77","173","115","阿部サダヲ","アベサダヲ","55","40","94","392"
"77","114","67","博多華丸・大吉","ハカタハナマルダイキチ","","40","234","392"
"77","66","29","広瀬すず","ヒロセスズ","27","40","114","553"
"77","40","13","ムロツヨシ","ムロツヨシ","49","40","178","596"
"81","46","20","阿部寛","アベヒロシ","61","39.8","68","276"
"81","301","266","大倉忠義（SUPER EIGHT(関ジャニ∞)）","オオクラタダヨシ（スーパーエイト(カンジャニエイト)）","40","39.8","52","303"
"81","27","146","佐藤健","サトウタケル","36","39.8","137","710"
"81","104","58","玉森裕太（Kis-My-Ft2）","タマモリユウタ（キスマイフットツー）","35","39.8","151","259"
"85","82","45","阿佐ヶ谷姉妹","アサガヤシマイ","","39.6","221","210"
"85","59","151","志尊淳","シソンジュン","30","39.6","388","115"
"85","27","54","松坂桃李","マツザカトオリ","37","39.6","178","399"
"88","71","96","亀梨和也","カメナシカズヤ（カトゥーン）","39","39.3","68","692"
"88","40","203","田中樹（SixTONES)","タナカジュリ（ストーンズ）","30","39.3","331","459"
"90","96","63","内村光良（ウッチャンナンチャン）","ウチムラテルヨシ（ウッチャンナンチャン）","61","39.1","37","259"
"90","10","8","永瀬廉（King & Prince）","ナガセレン（ キングアンドプリンス）","26","39.1","331","514"
"90","108","83","生見愛瑠（めるる）","ヌクミメル（メルル）","23","39.1","313","553"
"90","129","227","野呂佳代","ノロカヨ","42","39.1","313","145"
"94","27","79","あいみょん","アイミョン","30","38.9","234","224"
"94","359","165","新木優子","アラキユウコ","31","38.9","198","423"
"96","","196","井ノ原快彦","イノハラヨシヒコ（ブイシックス）","49","38.7","178","399"
"96","104","35","宇多田ヒカル","ウタダヒカル","42","38.7","114","459"
"96","123","249","大森元貴（Mrs.GREEN APPLE）","オオモリモトキ(ミセスグリーンアップル)","29","38.7","402","467"
"96","16","14","岡田将生","オカダマサキ","36","38.7","293","386"
"96","382","500","七五三掛龍也（Travis Japan）","シメカケリュウヤ（トラビスジャパン）","30","38.7","590","81"
"96","145","58","白石麻衣","シライシマイ（ノギザカフォーティーシックス）","33","38.7","151","641"
"96","132","67","杉咲花","スギサキハナ","28","38.7","293","241"
"96","","157","深田恭子","フカダキョウコ","43","38.7","151","641"
"96","285","266","渡辺翔太（Snow Man）","ワタナベショウタ（スノーマン）","33","38.7","221","868"
"105","129","235","生田斗真","イクタトウマ","41","38.4","178","367"
"105","213","276","上田竜也","ウエダタツヤ（カトゥーン）","42","38.4","68","596"
"105","290","165","知念侑李（Hey! Say! JUMP）","チネンユウリ（ヘイセイジャンプ）","31","38.4","94","546"
"105","336","235","浜田雅功（ダウンタウン）","ハマダマサトシ（ダウンタウン）","62","38.4","5","857"
"105","71","25","日村勇紀（バナナマン）","ヒムラユウキ（バナナマン）","53","38.4","137","429"
