"順位","前回","前々回","タレント名","タレント名(全角カナ)","年齢","スコア","認知度","誘引率"
"1","","5","タモリ","タモリ","80","40.2","1","711"
"2","16","2","阿部寛","アベヒロシ","61","39.1","14","428"
"3","34","7","イチロー","イチロー","52","38.7","1","677"
"4","11","2","大谷翔平","オオタニショウヘイ","31","38.4","8","917"
"5","6","39","明石家さんま","アカシヤサンマ","70","37.8","3","755"
"6","12","4","サンドウィッチマン","サンドウィッチマン","","37.3","7","461"
"7","13","10","綾瀬はるか","アヤセハルカ","40","37.1","9","1030"
"7","4","8","北川景子","キタガワケイコ","39","37.1","125","389"
"9","44","18","大泉洋","オオイズミヨウ","52","36.7","20","632"
"10","1","9","芦田愛菜","アシダマナ","21","36.2","154","400"
"11","2","5","長澤まさみ","ナガサワマサミ","38","36","62","379"
"12","","17","B’z","ビーズ","","35.8","22","594"
"13","10","1","新垣結衣","アラガキユイ","37","35.3","154","400"
"13","8","19","内村光良（ウッチャンナンチャン）","ウチムラテルヨシ（ウッチャンナンチャン）","61","35.3","11","606"
"13","16","26","伊達みきお（サンドウィッチマン）","ダテミキオ（サンドウィッチマン）","51","35.3","36","762"
"13","5","26","富澤たけし（サンドウィッチマン）","トミザワタケシ（サンドウィッチマン）","51","35.3","90","470"
"17","7","50","有村架純","アリムラカスミ","32","35.1","196","289"
"17","9","13","浜田雅功（ダウンタウン）","ハマダマサトシ（ダウンタウン）","62","35.1","14","786"
"19","23","15","吉高由里子","ヨシタカユリコ","37","34.4","137","238"
"20","","10","所ジョージ","トコロジョージ","70","34","11","673"
"21","14","","内田有紀","ウチダユキ","50","33.1","69","275"
"22","74","50","宇多田ヒカル","ウタダヒカル","42","32.9","6","606"
"22","25","39","春日俊彰（オードリー）","カスガトシアキ（オードリー）","46","32.9","22","640"
"22","15","12","小芝風花","コシバフウカ","28","32.9","330","351"
"22","16","48","吉岡里帆","ヨシオカリホ","32","32.9","291","404"
"26","32","30","ウッチャンナンチャン","ウッチャンナンチャン","","32.2","9","963"
"26","85","19","さまぁ～ず","サマァ～ズ","","32.2","32","796"
"26","115","63","ダウンタウン","ダウンタウン","","32.2","3","1149"
"29","52","36","川口春奈","カワグチハルナ","30","32","252","500"
"29","190","50","白石麻衣","シライシマイ（ノギザカフォーティーシックス）","33","32","184","525"
"29","29","47","マツコ・デラックス","マツコデラックス","53","32","26","946"
"32","67","76","鈴木亮平","スズキリョウヘイ","42","31.8","252","379"
