"順位","前回","前々回","タレント名","タレント名(全角カナ)","年齢","スコア","認知度","誘引率"
"1","2","2","サンドウィッチマン","サンドウィッチマン","","59.6","42","51"
"2","11","1","マツコ・デラックス","マツコデラックス","53","59.3","1","49"
"3","13","22","北川景子","キタガワケイコ","39","55.3","56","253"
"4","7","3","天海祐希","アマミユウキ","58","52.7","115","135"
"4","13","5","綾瀬はるか","アヤセハルカ","40","52.7","78","176"
"6","4","25","大泉洋","オオイズミヨウ","52","52.4","3","223"
"7","15","12","阿佐ヶ谷姉妹","アサガヤシマイ","","52.2","96","146"
"8","42","30","芦田愛菜","アシダマナ","21","51.6","3","81"
"9","5","4","伊達みきお（サンドウィッチマン）","ダテミキオ（サンドウィッチマン）","51","50.7","181","74"
"10","","43","桑田佳祐（サザンオールスターズ）","クワタケイスケ（サザンオールスターズ）","69","50.2","42","98"
"11","","35","安住紳一郎","アズミシンイチロウ","52","49.6","56","193"
"12","1","22","阿部寛","アベヒロシ","61","49.3","56","286"
"12","18","11","新垣結衣","アラガキユイ","37","49.3","150","359"
"12","","18","タモリ","タモリ","80","49.3","17","307"
"12","118","7","目黒蓮（Snow Man）","メグロレン（スノーマン）","28","49.3","96","379"
"12","16","35","山田涼介（Hey! Say! JUMP）","ヤマダリョウスケ（ヘイセイジャンプ）","32","49.3","265","233"
"17","88","12","大谷翔平","オオタニショウヘイ","31","49.1","78","509"
"17","7","9","DOMOTO(KinKi Kids)","ドウモト（キンキキッズ）","","49.1","325","176"
"19","31","8","富澤たけし（サンドウィッチマン）","トミザワタケシ（サンドウィッチマン）","51","48.9","78","66"
"20","21","101","櫻井翔（嵐）","サクライショウ（アラシ）","43","48.7","6","439"
"21","53","109","飯尾和樹（ずん）","イイオカズキ（ズン）","56","48.4","150","167"
"21","58","86","バナナマン","バナナマン","","48.4","96","302"
"23","","56","スピッツ","スピッツ","","48.2","359","88"
"23","10","5","長澤まさみ","ナガサワマサミ","38","48.2","115","228"
"25","199","49","堂本剛（DOMOTO（KinKi Kids））","ドウモトツヨシ（ドウモト（キンキキッズ））","46","48","6","619"
"26","","14","B’z","ビーズ","","47.8","78","439"
"27","35","124","阿部サダヲ","アベサダヲ","55","47.6","181","170"
"27","35","142","渡辺直美","ワタナベナオミ","38","47.6","169","326"
"29","192","76","吉沢亮","ヨシザワリョウ","31","47.3","232","206"
"30","156","105","木村佳乃","キムラヨシノ","49","47.1","42","233"
"30","9","101","小池栄子","コイケエイコ","45","47.1","56","362"
"30","63","71","堤真一","ツツミシンイチ","61","47.1","209","109"
"33","26","49","博多華丸・大吉","ハカタハナマルダイキチ","","46.9","130","429"
"33","42","30","Mr.Children","ミスターチルドレン","","46.9","386","225"
"33","21","65","ムロツヨシ","ムロツヨシ","49","46.9","42","564"
"36","53","65","堂本光一（DOMOTO（KinKi Kids））","ドウモトコウイチ（ドウモト（キンキキッズ））","46","46.7","96","739"
"37","134","18","神木隆之介","カミキリュウノスケ","32","46.2","56","170"
"37","76","76","水卜麻美","ミウラアサミ","38","46.2","32","347"
"39","182","71","佐藤健","サトウタケル","36","46","78","295"
"39","88","65","チョコレートプラネット","チョコレートプラネット","","46","169","217"
"39","35","29","米津玄師","ヨネヅケンシ","34","46","296","302"
"42","192","49","King & Prince","キングアンドプリンス","","45.8","310","389"
"42","3","18","竹野内豊","タケノウチユタカ","54","45.8","56","286"
"42","107","164","仲里依紗","ナカリイサ","36","45.8","42","459"
"45","6","10","宇多田ヒカル","ウタダヒカル","42","45.6","6","509"
"45","","40","菅野美穂","カンノミホ","48","45.6","17","262"
"45","27","16","鈴木亮平","スズキリョウヘイ","42","45.6","296","302"
"48","88","210","江口のりこ","エグチノリコ","45","45.3","310","170"
"48","182","96","風間俊介","カザマシュンスケ","42","45.3","56","217"
"48","134","59","玉木宏","タマキヒロシ","45","45.3","115","115"
"51","57","38","川口春奈","カワグチハルナ","30","45.1","115","386"
"51","23","63","博多華丸（博多華丸・大吉）","ハカタハナマル（ハカタハナマルダイキチ）","55","45.1","115","386"
"51","29","56","横浜流星","ヨコハマリュウセイ","29","45.1","337","109"
"54","","59","稲葉浩志（B’z）","イナバコウシ（ビーズ）","61","44.9","181","379"
"54","23","43","博多大吉（博多華丸・大吉）","ハカタダイキチ（ハカタハナマルダイキチ）","54","44.9","115","262"
"54","73","76","吉高由里子","ヨシタカユリコ","37","44.9","209","501"
"57","64","124","アンタッチャブル","アンタッチャブル","","44.7","265","362"
"57","20","83","多部未華子","タベミカコ","36","44.7","78","439"
"57","","86","山口智子","ヤマグチトモコ","61","44.7","150","188"
"60","107","139","高橋一生","タカハシイッセイ","44","44.4","232","129"
"60","139","221","中島みゆき","ナカジマミユキ","73","44.4","181","523"
"62","","96","石田ゆり子","イシダユリコ","56","44","130","321"
"62","123","25","内村光良（ウッチャンナンチャン）","ウチムラテルヨシ（ウッチャンナンチャン）","61","44","78","333"
"62","192","155","カズレーザー（メイプル超合金）","カズレーザー（メイプルチョウゴウキン）","41","44","17","307"
"62","168","49","坂口健太郎","サカグチケンタロウ","34","44","283","211"
"66","156","35","桜井和寿（Mr.Children）","サクライカズトシ（ミスターチルドレン）","55","43.8","130","429"
"66","","38","サザンオールスターズ","サザンオールスターズ","","43.8","181","193"
"66","151","49","広瀬アリス","ヒロセアリス","30","43.8","181","489"
"66","","120","MISIA","ミーシャ","47","43.8","169","598"
"66","60","24","山崎弘也（アンタッチャブル）","ヤマザキヒロナリ（アンタッチャブル）","49","43.8","56","326"
"71","49","42","いとうあさこ","イトウアサコ","55","43.6","150","660"
"71","49","43","西島秀俊","ニシジマヒデトシ","54","43.6","347","112"
"71","93","63","二宮和也（嵐）","ニノミヤカズナリ（アラシ）","42","43.6","6","821"
"74","139","43","斎藤工","サイトウタクミ","44","43.3","150","138"
"74","64","109","中村倫也","ナカムラトモヤ","38","43.3","337","206"
"76","25","71","秋山竜次（ロバート）","アキヤマリュウジ（ロバート）","47","43.1","232","546"
"76","97","164","玉森裕太（Kis-My-Ft2）","タマモリユウタ（キスマイフットツー）","35","43.1","347","210"
"76","76","76","戸田恵梨香","トダエリカ","37","43.1","56","217"
"76","214","30","永瀬廉（King & Prince）","ナガセレン（ キングアンドプリンス）","26","43.1","310","465"
"76","264","124","松岡昌宏","マツオカマサヒロ（トキオ）","48","43.1","32","347"
"76","68","188","松本潤（嵐）","マツモトジュン（アラシ）","42","43.1","78","627"
"82","139","30","ウッチャンナンチャン","ウッチャンナンチャン","","42.9","17","408"
"82","163","89","沢村一樹","サワムライッキ","58","42.9","310","204"
"82","76","40","松田元太（Travis Japan）","マツダゲンタ(トラビスジャパン)","26","42.9","450","359"
"82","93","133","山下智久","ヤマシタトモヒサ（ニュース）","40","42.9","96","338"
"82","264","193","ラウール（Snow Man）","ラウール（スノーマン）","22","42.9","296","459"
"87","","244","DAIGO","ダイゴ","47","42.7","56","362"
"87","88","49","松山ケンイチ","マツヤマケンイチ","40","42.7","169","639"
"89","42","30","遠藤憲一","エンドウケンイチ","64","42.4","265","445"
"89","","59","深田恭子","フカダキョウコ","43","42.4","6","439"
"91","139","133","石原さとみ","イシハラサトミ","38","42.2","32","639"
"91","151","105","志尊淳","シソンジュン","30","42.2","283","211"
"91","199","101","ゆず","ユズ","","42.2","42","389"
"94","","150","大沢たかお","オオサワタカオ","57","42","78","368"
"94","29","95","堺雅人","サカイマサト","52","42","209","386"
