"順位","前回","前々回","タレント名","タレント名(全角カナ)","年齢","スコア","認知度","誘引率"
"1","1","4","大谷翔平","オオタニショウヘイ","31","39.3","2","1057"
"2","2","1","サンドウィッチマン","サンドウィッチマン","","39.1","11","391"
"3","15","3","伊達みきお（サンドウィッチマン）","ダテミキオ（サンドウィッチマン）","51","37.1","1","859"
"4","","151","ダルビッシュ有","ダルビッシュユウ","39","35.3","11","825"
"5","10","15","ダウンタウン","ダウンタウン","","34.4","11","936"
"6","28","2","富澤たけし（サンドウィッチマン）","トミザワタケシ（サンドウィッチマン）","51","34.2","51","583"
"7","7","17","バナナマン","バナナマン","","33.8","20","796"
"8","27","31","小峠英二（バイきんぐ）","コトウゲエイジ（バイキング）","49","33.6","24","694"
"8","32","14","日村勇紀（バナナマン）","ヒムラユウキ（バナナマン）","53","33.6","37","726"
"8","9","12","マツコ・デラックス","マツコデラックス","53","33.6","11","701"
"11","","85","タモリ","タモリ","80","33.3","8","1044"
"12","28","18","綾瀬はるか","アヤセハルカ","40","33.1","5","1027"
"12","44","8","春日俊彰（オードリー）","カスガトシアキ（オードリー）","46","33.1","18","785"
"14","7","45","新垣結衣","アラガキユイ","37","32.9","98","521"
"14","161","259","今田美桜","イマダミオ","28","32.9","75","726"
"16","110","75","バイきんぐ","バイキング","","32.7","63","701"
"16","40","240","山田孝之","ヤマダタカユキ","42","32.7","42","803"
"18","18","23","有吉弘行","アリヨシヒロイキ","51","32.4","24","634"
"18","32","31","設楽統（バナナマン）","シタラオサム（バナナマン）","52","32.4","63","775"
"18","6","34","藤原竜也","フジワラタツヤ","43","32.4","42","434"
"21","3","6","イチロー","イチロー","52","32.2","8","796"
"22","97","71","石原さとみ","イシハラサトミ","38","32","5","1062"
"23","36","109","米津玄師","ヨネヅケンシ","34","31.8","37","845"
"24","3","9","阿部寛","アベヒロシ","61","31.6","51","694"
"24","151","397","早見沙織","ハヤミサオリ","34","31.6","417","199"
"24","130","145","Mr.Children","ミスターチルドレン","","31.6","98","753"
"27","22","18","有田哲平（くりぃむしちゅー）","アリタテッペイ（クリィムシチュー）","54","31.3","63","701"
"27","16","18","大泉洋","オオイズミヨウ","52","31.3","75","791"
"29","40","53","宇多田ヒカル","ウタダヒカル","42","30.9","110","436"
"30","10","34","秋山竜次（ロバート）","アキヤマリュウジ（ロバート）","47","30.4","11","936"
"30","36","29","出川哲朗","デガワテツロウ","61","30.4","10","968"
"30","62","46","広瀬すず","ヒロセスズ","27","30.4","24","1101"
"33","3","42","芦田愛菜","アシダマナ","21","30.2","82","673"
"33","49","9","千鳥","チドリ","","30.2","170","778"
"33","22","60","ノブ（千鳥）","ノブ（チドリ）","45","30.2","110","840"
"33","","97","B’z","ビーズ","","30.2","260","534"
"33","36","34","福山雅治","フクヤママサハル","56","30.2","82","807"
"38","231","190","鈴木亮平","スズキリョウヘイ","42","30","187","658"
"38","117","42","若林正恭（オードリー）","ワカバヤシマサヤス（オードリー）","47","30","31","983"
"40","91","97","大竹一樹（さまぁ～ず）","オオタケカズキ（サマァ～ズ）","57","29.8","98","521"
"40","79","119","堺雅人","サカイマサト","52","29.8","31","1031"
"40","123","133","さまぁ～ず","サマァ～ズ","","29.8","51","1031"
"40","56","230","吉岡里帆","ヨシオカリホ","32","29.8","240","701"
"44","84","49","有村架純","アリムラカスミ","32","29.6","82","612"
"44","123","42","アンタッチャブル","アンタッチャブル","","29.6","37","1127"
"44","","15","狩野英孝","カノエイコウ","43","29.6","42","922"
"44","151","190","玉木宏","タマキヒロシ","45","29.6","98","1048"
"48","10","29","オードリー","オードリー","","29.3","51","816"
"48","69","25","劇団ひとり","ゲキダンヒトリ","48","29.3","82","807"
"48","161","151","笑福亭鶴瓶","ショウフクテイツルベ","73","29.3","51","936"
"48","32","12","タカアンドトシ","タカアンドトシ","","29.3","144","612"
"48","18","9","浜田雅功（ダウンタウン）","ハマダマサトシ（ダウンタウン）","62","29.3","11","1062"
"53","217","297","あいみょん","アイミョン","30","29.1","154","889"
"53","207","336","亀梨和也","カメナシカズヤ（カトゥーン）","39","29.1","24","1213"
"55","369","565","井桁弘恵","イゲタヒロエ","28","28.9","355","489"
"55","195","179","齋藤飛鳥","サイトウアスカ（ノギザカフォーティーシックス）","27","28.9","240","849"
"55","56","23","大悟（千鳥）","ダイゴ（チドリ）","45","28.9","154","694"
"55","195","397","中島みゆき","ナカジマミユキ","73","28.9","240","701"
"55","44","247","橋本環奈","ハシモトカンナ（レブフロムディーブイエル）","26","28.9","20","1153"
"55","75","46","山崎弘也（アンタッチャブル）","ヤマザキヒロナリ（アンタッチャブル）","49","28.9","202","673"
"61","","230","稲葉浩志（B’z）","イナバコウシ（ビーズ）","61","28.7","170","845"
"61","40","49","内村光良（ウッチャンナンチャン）","ウチムラテルヨシ（ウッチャンナンチャン）","61","28.7","51","753"
"61","312","104","東京03","トウキョウゼロサン","","28.7","277","338"
"61","","355","速水もこみち","ハヤミモコミチ","41","28.7","24","1012"
"61","97","119","松重豊","マツシゲユタカ","62","28.7","240","515"
"61","36","40","松本人志（ダウンタウン）","マツモトヒトシ（ダウンタウン）","62","28.7","4","1260"
"61","49","90","三村マサカズ（さまぁ～ず）","ミムラマサカズ（サマァーズ）","58","28.7","63","1048"
"68","217","190","岡田准一","オカダジュンイチ（ブイシックス）","45","28.4","144","871"
"68","","275","志田未来","シダミライ","32","28.4","98","988"
"68","97","38","トシ（タカアンドトシ）","トシ（タカアンドトシ）","49","28.4","126","549"
"68","151","90","錦鯉","ニシキゴイ","","28.4","187","859"
"68","217","230","生見愛瑠（めるる）","ヌクミメル（メルル）","23","28.4","320","589"
"73","49","40","児嶋一哉（アンジャッシュ）","コジマカズヤ（アンジャッシュ）","53","28.2","63","1183"
"73","","97","サザンオールスターズ","サザンオールスターズ","","28.2","126","851"
"73","13","25","原田泰造（ネプチューン）","ハラダタイゾウ（ネプチューン）","55","28.2","63","951"
"73","279","161","広瀬アリス","ヒロセアリス","30","28.2","42","1012"
"77","","319","スピッツ","スピッツ","","28","343","317"
"77","267","179","高橋茂雄（サバンナ）","タカハシシゲオ（サバンナ）","49","28","154","832"
"77","17","7","なかやまきんに君","ナカヤマキンニクン","47","28","37","994"
"77","44","85","二宮和也（嵐）","ニノミヤカズナリ（アラシ）","42","28","51","1105"
"77","97","247","ムロツヨシ","ムロツヨシ","49","28","144","748"
"82","181","119","あの","アノ","","27.8","63","1183"
"82","","230","今田耕司","イマダコウジ","59","27.8","5","1210"
"82","123","281","遠藤憲一","エンドウケンイチ","64","27.8","98","1048"
"82","20","38","くりぃむしちゅー","クリィムシチュー","","27.8","126","851"
"82","49","49","博多華丸・大吉","ハカタハナマルダイキチ","","27.8","187","796"
"82","117","63","博多華丸（博多華丸・大吉）","ハカタハナマル（ハカタハナマルダイキチ）","55","27.8","126","851"
"82","130","85","ブラックマヨネーズ","ブラックマヨネーズ","","27.8","170","1065"
"89","217","71","生田絵梨花","イクタエリカ（ノギザカフォーティーシックス）","28","27.6","417","418"
"89","369","637","堤真一","ツツミシンイチ","61","27.6","126","922"
"89","64","161","仲間由紀恵","ナカマユキエ","46","27.6","42","972"
"89","84","190","長谷川雅紀（錦鯉）","ハセガワマサノリ(ニシキゴイ)","54","27.6","277","489"
"89","130","60","福原遥","フクハラハルカ","27","27.6","389","645"
"89","195","281","松岡昌宏","マツオカマサヒロ（トキオ）","48","27.6","187","859"
"95","49","31","上田晋也（くりぃむしちゅー）","ウエダシンヤ（クリィムシチュー）","55","27.3","63","839"
"95","207","60","上戸彩","ウエトアヤ","40","27.3","110","1101"
"95","130","85","近藤春菜（ハリセンボン）","コンドウハルナ（ハリセンボン）","42","27.3","18","1200"
"95","130","85","白石麻衣","シライシマイ（ノギザカフォーティーシックス）","33","27.3","170","701"
"95","97","57","バカリズム","バカリズム","49","27.3","82","748"
"95","13","25","YOASOBI","ヨアソビ","","27.3","187","658"
"95","335","589","横浜流星","ヨコハマリュウセイ","29","27.3","292","768"
"95","141","119","吉村崇（平成ノブシコブシ）","ヨシムラタカシ（ヘイセイノブシコブシ）","45","27.3","126","726"
"103","123","109","池田エライザ","イケダエライザ","29","27.1","320","367"
"103","84","179","岡村隆史（ナインティナイン）","オカムラタカシ（ナインティナイン）","55","27.1","37","1241"
"103","91","80","川口春奈","カワグチハルナ","30","27.1","154","955"
"103","","425","倉科カナ","クラシナカナ","37","27.1","457","333"
"103","181","565","佐藤二朗","サトウジロウ","56","27.1","260","658"
"103","69","57","チョコレートプラネット","チョコレートプラネット","","27.1","170","906"
"103","141","327","中条あやみ","ナカジョウアヤミ","28","27.1","222","1012"
