"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/男性12～19歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
1,"サンドウィッチマン",57.7,85.0,54.2,3.1,10.6,19.4,1.8,5.7,7.0
2,"大谷　翔平",52.9,83.3,4.0,17.6,9.3,23.8,5.3,41.4,12.8
3,"チョコレ－トプラネット",51.1,82.4,52.9,3.1,16.3,7.0,1.3,4.0,3.5
4,"出川　哲朗",47.6,85.5,56.4,0.9,20.3,9.7,7.0,6.2,3.1
5,"千鳥",47.1,84.1,52.4,2.2,15.9,6.2,0.4,4.8,5.3
6,"ＨＩＫＡＫＩＮ",43.2,90.3,39.6,4.4,25.1,11.9,2.2,4.8,4.0
7,"なかやまきんに君",41.9,81.9,36.6,3.5,17.2,4.0,3.1,7.5,1.3
8,"マツコ・デラックス",41.4,86.3,39.6,2.6,30.4,14.5,3.1,3.1,7.0
9,"秋山　竜次",39.2,72.2,45.4,2.6,26.4,4.8,1.3,3.1,3.5
10,"かまいたち",38.3,78.9,46.3,3.5,12.3,3.1,1.3,3.5,2.6
11,"みやぞん",37.9,79.3,40.5,0.9,13.2,4.4,2.2,4.0,0.4
11,"阿部　寛",37.9,68.7,10.6,4.8,15.0,9.3,1.3,29.1,30.8
13,"春日　俊彰",37.4,78.9,42.3,1.8,17.2,4.8,1.3,5.7,3.1
14,"カズレ－ザ－",36.6,83.3,26.4,1.8,19.8,17.2,0.9,6.6,6.6
15,"サンシャイン池崎",34.4,80.2,37.0,1.3,20.3,4.8,0.9,4.8,1.8
15,"小峠　英二",34.4,74.4,41.9,3.1,18.1,7.0,0.9,2.6,2.6
17,"有吉　弘行",33.0,78.9,37.0,1.3,13.7,6.6,0.4,4.8,4.8
17,"霜降り明星",33.0,73.6,37.9,2.6,14.1,2.6,0.9,2.2,2.2
17,"菅田　将暉",33.0,68.7,4.8,7.9,16.7,5.7,1.8,24.7,6.2
20,"はじめしゃちょ－",32.6,81.1,29.1,2.6,17.2,4.8,1.8,10.6,2.2
20,"大泉　洋",32.6,69.6,31.7,3.5,16.3,6.6,2.6,7.9,7.9
22,"宮川　大輔",32.2,75.3,39.6,1.8,14.1,3.1,0.4,3.5,3.1
23,"錦鯉",31.7,76.2,41.0,0.9,16.7,3.1,2.6,1.8,3.5
24,"木村　拓哉",31.3,73.1,7.5,10.1,9.7,10.1,2.2,37.0,25.6
24,"タカアンドトシ",31.3,71.4,41.4,2.6,9.7,4.0,1.8,0.9,1.3
26,"明石家　さんま",30.8,80.2,40.5,0.9,16.3,11.0,1.3,4.8,7.0
26,"ダイアン",30.8,61.2,32.6,1.8,10.6,1.3,0,2.2,2.2
28,"あばれる君",30.4,79.3,34.8,0.4,16.7,4.4,2.2,3.1,2.2
28,"小島　よしお",30.4,76.2,39.2,0.9,17.2,6.6,0.9,3.1,1.8
28,"ＤＡＩＧＯ",30.4,75.3,25.6,6.6,18.1,7.5,1.8,16.7,5.7
31,"星野　源",30.0,74.0,7.5,7.0,15.0,6.6,1.8,15.0,5.7
31,"ムロツヨシ",30.0,65.2,26.9,2.2,19.4,4.0,0.9,6.2,10.6
