csv_name,csv_kana,power_score,file,target_segment
星街すいせい,ホシマチスイセイ,24.3,TPR_男性12～19_202508.csv,13
スピッツ,スピッツ,22.3,TPR_男性12～19_202508.csv,13
EXILE,エグザイル,20.0,TPR_男性12～19_202508.csv,13
B’z,ビーズ,20.0,TPR_男性12～19_202508.csv,13
山添寛（相席スタート）,ヤマゾエカン(アイセキスタート),17.7,TPR_男性12～19_202508.csv,13
Aimer,エメ,16.7,TPR_男性12～19_202508.csv,13
[ALEXANDROS],アレキサンドロス,16.0,TPR_男性12～19_202508.csv,13
秦基博,ハタモトヒロ,16.0,TPR_男性12～19_202508.csv,13
SAKURA（宮脇咲良/LE SSERAFIM）,ミヤワキサクラ（ルセラフィム）,15.7,TPR_男性12～19_202508.csv,13
水田わさび,ミズタワサビ,15.0,TPR_男性12～19_202508.csv,13
桑子真帆,クワコマホ,14.7,TPR_男性12～19_202508.csv,13
南波雅俊,ナンバマサトシ,14.3,TPR_男性12～19_202508.csv,13
ガクテンソク,ガクテンソク,14.0,TPR_男性12～19_202508.csv,13
Saucy Dog,サウシードッグ,14.0,TPR_男性12～19_202508.csv,13
ダウ90000,ダウキュウーマン,14.0,TPR_男性12～19_202508.csv,13
マユリカ,マユリカ,14.0,TPR_男性12～19_202508.csv,13
ケツメイシ,ケツメイシ,13.7,TPR_男性12～19_202508.csv,13
鈴木誠也,スズキセイヤ,13.7,TPR_男性12～19_202508.csv,13
伊藤利尋,イトウトシヒロ,13.0,TPR_男性12～19_202508.csv,13
辻岡義堂,ツジアカギドウ,13.0,TPR_男性12～19_202508.csv,13
弘中綾香,ヒロナカアヤカ,13.0,TPR_男性12～19_202508.csv,13
imase,イマセ,12.7,TPR_男性12～19_202508.csv,13
岩田絵里奈,イワタエリナ,12.7,TPR_男性12～19_202508.csv,13
ØMI（登坂広臣（三代目 J SOUL BROTHERS））,オミ(トサカヒロオミ(サンダイメジェイソウルブラザーズ）),12.3,TPR_男性12～19_202508.csv,13
JUJU,ジュジュ,12.3,TPR_男性12～19_202508.csv,13
TOMORROW X TOGETHER,トゥモローバイトゥギャザー,12.3,TPR_男性12～19_202508.csv,13
小川彩佳,オガワアヤカ,12.0,TPR_男性12～19_202508.csv,13
軽部真一,カルベシンイチ,12.0,TPR_男性12～19_202508.csv,13
BOYNEXTDOOR,ボーイズネクストドア,12.0,TPR_男性12～19_202508.csv,13
赤江珠緒,アカエタマオ,11.7,TPR_男性12～19_202508.csv,13
佐久間みなみ,サクマミナミ,11.7,TPR_男性12～19_202508.csv,13
新浜レオン,ニイハマレオン,11.7,TPR_男性12～19_202508.csv,13
日比麻音子,ヒビマオコ,11.7,TPR_男性12～19_202508.csv,13
市來玲奈,イチキレナ,11.3,TPR_男性12～19_202508.csv,13
井上清華,イノウエセイカ,11.3,TPR_男性12～19_202508.csv,13
高野正成（きしたかの）,タカノマサノリ（キシタカノ）,11.3,TPR_男性12～19_202508.csv,13
田中瞳,タナカヒトミ,11.3,TPR_男性12～19_202508.csv,13
堤礼実,ツツミレイミ,11.3,TPR_男性12～19_202508.csv,13
谷原七音,タニハラナナト,11.0,TPR_男性12～19_202508.csv,13
ツートライブ,ツートライブ,10.7,TPR_男性12～19_202508.csv,13
TOMOO,トモオ,10.7,TPR_男性12～19_202508.csv,13
林佑香,ハヤシユカ,10.7,TPR_男性12～19_202508.csv,13
ハ・ヨンス,ハ・ヨンス,10.7,TPR_男性12～19_202508.csv,13
上垣皓太朗,ウエガキコウタロウ,10.3,TPR_男性12～19_202508.csv,13
浦野モモ,ウラノモモ,10.3,TPR_男性12～19_202508.csv,13
カベポスター,カベポスター,10.3,TPR_男性12～19_202508.csv,13
倉沢杏菜,クラサワアンナ,10.3,TPR_男性12～19_202508.csv,13
杉野真実,スギノマミ,10.3,TPR_男性12～19_202508.csv,13
中村光宏,ナカムラミツヒロ,10.3,TPR_男性12～19_202508.csv,13
宮司愛海,ミヤジマナミ,10.3,TPR_男性12～19_202508.csv,13
山形純菜,ヤマガタジュンナ,10.3,TPR_男性12～19_202508.csv,13
渡辺瑠海,ワタナベルミ,10.3,TPR_男性12～19_202508.csv,13
サルゴリラ,サルゴリラ,10.0,TPR_男性12～19_202508.csv,13
篠原梨菜,シノハラリナ,10.0,TPR_男性12～19_202508.csv,13
THE ALFEE,ジアルフィー,10.0,TPR_男性12～19_202508.csv,13
原田葵,ハラダアオイ,10.0,TPR_男性12～19_202508.csv,13
ヒロド歩美,ヒロドアユミ,10.0,TPR_男性12～19_202508.csv,13
BABYMETAL,ベビーメタル,10.0,TPR_男性12～19_202508.csv,13
青井実,アオイミノル,9.7,TPR_男性12～19_202508.csv,13
アンナ・サワイ,アンナ・サワイ,9.7,TPR_男性12～19_202508.csv,13
井内悠陽,イウチハルヒ,9.7,TPR_男性12～19_202508.csv,13
石崎ひゅーい,イシザキヒューイ,9.7,TPR_男性12～19_202508.csv,13
佐藤梨那,サトウリナ,9.7,TPR_男性12～19_202508.csv,13
膳場貴子,ゼンバタカコ,9.7,TPR_男性12～19_202508.csv,13
中本悠太（NCT127）,ナカモトユウタ（エヌシーティーイチニナナ）,9.7,TPR_男性12～19_202508.csv,13
林美桜,ハヤシミオウ,9.7,TPR_男性12～19_202508.csv,13
安藤萌々,アンドウモモ,9.3,TPR_男性12～19_202508.csv,13
江藤愛,エトウアイ,9.3,TPR_男性12～19_202508.csv,13
NCT127,エヌシーティーイチニナナ,9.3,TPR_男性12～19_202508.csv,13
NCT WISH,エヌシーティーウイッシュ,9.3,TPR_男性12～19_202508.csv,13
角谷暁子,カドヤアキコ,9.3,TPR_男性12～19_202508.csv,13
酒井大成,サカイタイセイ,9.3,TPR_男性12～19_202508.csv,13
鈴木新彩,スズキサラサ,9.3,TPR_男性12～19_202508.csv,13
鈴木奈穂子,スズキナオコ,9.3,TPR_男性12～19_202508.csv,13
瞳水ひまり,ヒトミヒマリ,9.3,TPR_男性12～19_202508.csv,13
山口馬木也,ヤマグチマキヤ,9.3,TPR_男性12～19_202508.csv,13
山﨑翠佳,ヤマザキスイカ,9.3,TPR_男性12～19_202508.csv,13
蒼井翔太,アオイショウタ,9.0,TPR_男性12～19_202508.csv,13
生田竜聖,イクタリュウセイ,9.0,TPR_男性12～19_202508.csv,13
栗谷（カカロニ）,クリタニ（カカロニ）,9.0,TPR_男性12～19_202508.csv,13
玉置玲央,タマオキレオ,9.0,TPR_男性12～19_202508.csv,13
ネルソンズ,ネルソンズ,9.0,TPR_男性12～19_202508.csv,13
ビスケットブラザーズ,ビスケットブラザーズ,9.0,TPR_男性12～19_202508.csv,13
後呂有紗,ウシロアリサ,8.7,TPR_男性12～19_202508.csv,13
小室瑛莉子,コムロエリコ,8.7,TPR_男性12～19_202508.csv,13
高瀬耕造,タカセコウゾウ,8.7,TPR_男性12～19_202508.csv,13
福留光帆,フクトメミツホ,8.7,TPR_男性12～19_202508.csv,13
松本麗世,マツモトレイヨ,8.7,TPR_男性12～19_202508.csv,13
南出凌嘉,ミナミデリョウカ,8.7,TPR_男性12～19_202508.csv,13
ラブレターズ,ラブレターズ,8.7,TPR_男性12～19_202508.csv,13
駒田健吾,コマダケンゴ,8.3,TPR_男性12～19_202508.csv,13
佐々木舞音,ササキマイネ,8.3,TPR_男性12～19_202508.csv,13
杉山真也,スギヤマシンヤ,8.3,TPR_男性12～19_202508.csv,13
夏生大湖,ナツキオミ,8.3,TPR_男性12～19_202508.csv,13
忽滑谷こころ,ヌカリヤココロ,8.3,TPR_男性12～19_202508.csv,13
梅澤廉,ウメザワレン,8.0,TPR_男性12～19_202508.csv,13
MATSURI,マツリ,8.0,TPR_男性12～19_202508.csv,13
大江麻理子,オオエマリコ,7.7,TPR_男性12～19_202508.csv,13
赤荻歩,アカオギアユミ,7.3,TPR_男性12～19_202508.csv,13
阿佐辰美,アサタツミ,7.3,TPR_男性12～19_202508.csv,13
小倉史也,オグラフミヤ,7.0,TPR_男性12～19_202508.csv,13
月城かなと,ツキシロカナト,7.0,TPR_男性12～19_202508.csv,13
本多力,ホンダチカラ,6.0,TPR_男性12～19_202508.csv,13
